File,Samples,LastHalfVoltage_V,LastHalfCurrent_A,LastHalfDistal_rad_s,LastHalfMotor_rad_s
Distal Bearing +Shaft Damping 2,20000,0.00072248775122487,-0.000792570742925708,0.0158399460053995,0.00542681731826816
Distal Bearing Damping +Shaft 1 (eraser left side)_,20000,0.000681801819818008,-0.000956854314568543,-0.015190900909909,0.00531330866913308
Motor + Shaft Damping 1 (eraser right side),20000,0.00068530146985299,-0.00105656434356564,-0.00552387761223877,0.00511761823817618
Motor + Shaft Damping 2,20000,0.00068464153584639,-0.00107677232276772,-0.00546921307869213,0.00491889811018898
eraser 1,20000,0.0859908509149087,0.00579129087091291,-0.00184231576842317,0.00512912708729127
last test,20000,-0.00626742325767422,0.00298322167783223,-0.0366792620737926,-0.0263346665333467
motor connected unplugged,40000,0.000606939653017344,-0.000411569421528924,-0.00557779111044447,0.00500868956552171
motor connected unplugged 2,20000,0.162392210778924,-0.00053941605839416,1.6514413558644,1.65897878212179
motor constant 100 mV,10000,4.09946208758248,0.238628714257148,34.2574684463108,34.1931644271146
motor constant 100 mV 2,10000,4.09992987402519,0.227844071185763,34.3726910617876,34.3181349330134
motor constant 125 mV,10000,5.12863043391322,0.233855668866227,44.4462708858228,44.3784324935013
motor constant 125 mV 2,10000,5.12770705858829,0.237269366126775,45.1839266146771,45.1037464707059
motor constant 150 mV,10000,6.157175384923,0.243027094581083,54.8835221755649,54.7881757648471
motor constant 150 mV 2,10000,6.15784587082582,0.231394981003799,55.2782581683663,55.1887820035992
motor constant 175 mV,10000,7.1866799040192,0.239334193161368,65.7525654069186,65.6523899820037
motor constant 175 mV 2,10000,7.18603527294541,0.240607098580284,65.9516333933213,65.8425047790441
motor constant 200 mV,10000,8.21453167366528,0.253882423515297,76.2322474305139,76.1300963007398
motor constant 200 mV 2,10000,8.21486272745452,0.245755528894221,76.3392396320736,76.2183829434114
motor constant 50 mV 2,10000,2.04122387522496,0.226514757048591,14.2346036392721,14.2038595680864
motor constant 50mV,10000,2.04079802039592,0.239187482503499,13.2702483903219,13.2531489102179
motor constant 75 mV,10000,3.07042511497701,0.233735592881424,23.9352822235553,23.8983674265147
motor constant 75 mV 2,10000,3.07069820035993,0.224367726454709,24.3668970005999,24.3199645670866
motor disconnected,40000,2.03836072196389,0.199177961101945,9.05999660516973,11.9835586370681
motor disconnected 2,40000,2.03838448077595,0.199100284985751,9.27568249087543,12.5588407279636
motor resistance,10000,1.99092025594881,0.803746350729854,-0.00543499300139971,0.00525336932613477
motor resistance 2,10000,1.99131889622076,0.794209818036393,-0.00545034993001399,0.00526774645070986
motor resistance 20 hz,10000,0.00952459508098381,-0.0859108778244351,-0.00550209958008398,0.00509830033993201
motor resistance 20hz 2,10000,0.0411369526094781,0.0236091381723655,-0.00544259148170365,0.00531019796040792
