Nominal_Hz,Measured_Hz,Count,Gain_rad_s_V,Magnitude_dB,Phase_deg,ComplexScatter_rad_s_V
4,4.0001,5,0.452762947900981,-6.88258242175603,-89.9681020273847,0.0227788288423513
4.2,4.20034,5,0.455845025652258,-6.8236556003768,-95.9597107446717,0.0262134779890486
4.4,4.40008,5,0.478551759747071,-6.40142164857491,-99.8764395831462,0.0170175817516924
4.6,4.6,5,0.499442369194689,-6.03029235835819,-104.817267523748,0.0116044584193592
4.8,4.7999,5,0.559007618829988,-5.05164545968571,-108.503980208663,0.009836260594303
5,5.00018333333333,6,0.725069308171846,-2.79240955912011,-111.04204698482,0.0310702386405214
5.1,5.1,1,0.780326729231839,-2.15447033101968,-110.8003,0
5.2,5.20003333333333,6,0.947611282108356,-0.467395545557099,-115.905418112871,0.0485464487666326
5.3,5.3,1,1.01068808134497,0.0923428852705501,-119.6032,0
5.4,5.4001,6,1.40578273897988,2.95836412984957,-120.34011853965,0.0536985692492361
5.5,5.50005,2,1.77490573366628,4.98350584713832,-131.188145562267,0.124679140350566
5.55,5.55,1,2.07170742909634,6.3265684683695,-136.3227,0
5.6,5.60007142857143,7,2.37541888613453,7.51480410149784,-155.564611389454,0.295442448984315
5.65,5.6501,1,2.68711237553343,8.58571658176018,-178.4642,0
5.7,5.7002,2,2.48839122311084,7.91837321717044,-190.537265320413,0.268435829979465
5.75,5.7494,1,2.39429942308791,7.58356921767724,-210.642,0
5.8,5.80003333333333,6,2.22180964927063,6.93413697137205,-215.333714822428,0.0532077874070723
5.9,5.9,1,1.73427980227612,4.78238332510486,-224.9216,0
6,6,6,1.38910510814786,2.85470216689882,-238.107892133835,0.0363338861723438
6.1,6.1001,1,1.17533707540073,1.40324871926817,-243.1118,0
6.2,6.20008333333333,6,0.890789362321135,-1.00449955778954,-244.69223042412,0.0405668548996072
6.3,6.2996,1,0.773194685153091,-2.23422279842112,-245.143,0
6.4,6.40008333333333,6,0.650947942380704,-3.72907482896779,-247.712592709959,0.0181981070170043
6.5,6.4999,1,0.588823971770695,-4.60029035262947,-242.8087,0
6.6,6.60005,6,0.47707366313044,-6.42829116045138,-254.585133046256,0.0360377348130551
6.7,6.7002,1,0.459782104775151,-6.74895871912714,-253.7005,0
6.8,6.8001,6,0.383327420910441,-8.32860225701349,-253.534725340147,0.0261076152296901
6.9,6.9,1,0.344564526382708,-9.254588721698,-253.2619,0
7,7.00036666666667,6,0.324528452474387,-9.77494442343997,-254.480647957248,0.0276213881352365
7.2,7.20008,5,0.27651473754809,-11.1656343385241,-256.32361688439,0.00610929051097104
7.4,7.40004,5,0.234276435333978,-12.6054278532504,-255.66273282461,0.00963392106017022
7.6,7.60006,5,0.205003680858155,-13.7647668216133,-257.90400573409,0.00267672029674003
7.8,7.80012,5,0.173087471733043,-15.2346873142557,-255.109387460619,0.00770504357626494
8,8.00014,5,0.150263106158876,-16.4629527579863,-258.300717236916,0.00931825276472368
8.2,8.2001,5,0.136444561476009,-17.3008754025977,-260.394190341363,0.00161899996549176
8.4,8.40006,5,0.116852980363549,-18.6472041268922,-261.111126955544,0.00178346611257273
8.6,8.60004,5,0.104974647522146,-19.5783114987338,-261.428974473882,0.00320727443853165
8.8,8.80008,5,0.0976197049236605,-20.2092501885008,-262.000701117371,0.00186196073613291
9,9.00012,5,0.0874055838341299,-21.1692164386418,-262.633473760301,0.000967017678625335
9.2,9.20014,5,0.0799769070259592,-21.9407079099095,-263.728410237105,0.000947945054256766
9.4,9.40006,5,0.072649600793332,-22.7753353558063,-264.589078629042,0.00169771515319974
9.6,9.60008,5,0.0662239510169016,-23.5796982434547,-264.665722494278,0.00152707190999198
9.8,9.80006,5,0.0621908414887146,-24.1254713363351,-266.114225026549,0.00181819030144004
10,9.99998,5,0.05983067137808,-24.4615224756145,-265.104003865169,0.000764679090188879
