Side,WheelDiameter_mm,ShaftDiameter_mm,Resonance_Hz,PeakReduction_pct,CostReduction_pct,RelativeSpeedReduction_pct
drive,85,3.18,10.3764222426563,78.4376216823916,66.2952297214062,-185.989137482263
drive,85,4,16.9089538572006,79.1035461950847,67.3927437544447,-95.5220523471426
drive,85,4.5,21.5482512013261,79.2618586235087,67.6527347093128,-58.850382953533
drive,85,4.76,24.1648619763285,79.3141265453144,67.7384976857032,-43.3574524902145
drive,85,5,26.7056353892351,79.3509859964549,67.7989567107695,-31.1232568232271
drive,85,5.5,32.3885025376545,79.404425732624,67.8865810759553,-9.82386059435536
drive,85,6.35,43.2663190362954,79.4544556376686,67.9685803673287,17.1806567685486
drive,90,3.18,9.59604409423769,73.8859831448918,59.569481639996,-158.842450938526
drive,90,4,15.517542391796,74.5095817072138,60.6094561317546,-75.7302492257644
drive,90,4.5,19.7416039898612,74.6598169322442,60.8590270497371,-42.4509099533793
drive,90,4.76,22.1267126073546,74.7095792255125,60.941626105426,-28.3691951378666
drive,90,5,24.4437840286277,74.7447193183024,60.9999208646958,-17.2137592854645
drive,90,5.5,29.6289298485632,74.795735846517,61.0845207237357,1.7742274059336
drive,90,6.35,39.5596495128627,74.8435713758725,61.163819474049,25.5904740252054
drive,95,3.18,8.90405236273836,68.6218216805157,52.1086137582532,-134.171449733452
drive,95,4,14.3194952451711,69.2052221033639,53.0929462393276,-57.9818923801896
drive,95,4.5,18.1945886937714,69.3471298366544,53.331426214215,-27.7672944592568
drive,95,4.76,20.3844011557511,69.3942471369887,53.4105315938822,-15.0158388853696
drive,95,5,22.5125171006007,69.427553180125,53.466411491574,-4.96404237726729
drive,95,5.5,27.2766273995129,69.4759565573737,53.5475957309156,12.2980371551323
drive,95,6.35,36.40472179035,69.5213949645311,53.6237603906751,33.9023627183518
drive,100,3.18,8.29688138266651,62.6230643250147,44.1100987793379,-111.728377436919
drive,100,4,13.2895655453874,63.1669708237622,45.0359974511299,-41.8859584143105
drive,100,4.5,16.8700228663873,63.3002077740636,45.2618649619299,-14.6266774576054
drive,100,4.76,18.8945443023165,63.3445258355435,45.3369127691242,-3.12246612772669
drive,100,5,20.8625773077356,63.3758770433039,45.3899814160013,5.88001976191125
drive,100,5.5,25.2695323525812,63.4214746259067,45.467121966337,21.5243455540793
drive,100,6.35,33.7160166330499,63.4643169246709,45.5395700812787,40.50219516866
drive,105,3.18,7.76732221155676,55.8871003543992,35.8675330340726,-91.3563943349682
drive,105,4,12.4043504917909,56.3914527262097,36.7287058656135,-27.6859662704411
drive,105,4.5,15.7351379852404,56.5156474999513,36.9399269715577,-2.87259495640115
drive,105,4.76,17.6193397251091,56.5570138080486,37.0102196140049,7.48588948277662
drive,105,5,19.4513152883188,56.5862936941256,37.0599218266727,15.5871564170733
drive,105,5.5,23.554507271816,56.6289035635746,37.1322446982714,29.59327943543
drive,105,6.35,31.4206713700567,56.6689654509463,37.2002150678705,46.9235293061315
drive,110,3.18,7.30691860938788,48.4367834413531,27.7480457535222,-72.9002297863219
drive,110,4,11.6431800705824,48.9011913072639,28.5375438106436,-14.827917896375
drive,110,4.5,14.7616330297337,49.0159964624668,28.7319633222369,7.63768204662258
drive,110,4.76,16.5263179774819,49.0542742804334,28.7967511313089,16.9578402178501
drive,110,5,18.2423626619661,49.0813798358919,28.8425982203284,24.2720870417563
drive,110,5.5,22.0864806520467,49.120842873697,28.9092876492375,36.912146040059
