Path,Status,Rows,Columns,Note
C:\Users\holde\OneDrive\Desktop\495 data\Data\Distal Bearing +Shaft Damping 2,imported,20000,5,
C:\Users\holde\OneDrive\Desktop\495 data\Data\Distal Bearing Damping +Shaft 1 (eraser left side)_,imported,20000,5,
C:\Users\holde\OneDrive\Desktop\495 data\Data\Freq Sweep 4-10Hz,imported,155,12,
C:\Users\holde\OneDrive\Desktop\495 data\Data\Freq Sweep 5-7Hz,imported,21,12,
C:\Users\holde\OneDrive\Desktop\495 data\Data\Freq Sweep 5.4-5.8Hz,imported,6,12,
C:\Users\holde\OneDrive\Desktop\495 data\Data\Motor + Shaft Damping 1 (eraser right side),imported,20000,5,
C:\Users\holde\OneDrive\Desktop\495 data\Data\Motor + Shaft Damping 2,imported,20000,5,
C:\Users\holde\OneDrive\Desktop\495 data\Data\eraser 1,imported,20000,5,
C:\Users\holde\OneDrive\Desktop\495 data\Data\last test,imported,20000,5,
C:\Users\holde\OneDrive\Desktop\495 data\Data\motor connected unplugged,imported,40000,5,
C:\Users\holde\OneDrive\Desktop\495 data\Data\motor connected unplugged 2,imported,20000,5,
C:\Users\holde\OneDrive\Desktop\495 data\Data\motor constant 100 mV,imported,10000,5,
C:\Users\holde\OneDrive\Desktop\495 data\Data\motor constant 100 mV 2,imported,10000,5,
C:\Users\holde\OneDrive\Desktop\495 data\Data\motor constant 125 mV,imported,10000,5,
C:\Users\holde\OneDrive\Desktop\495 data\Data\motor constant 125 mV 2,imported,10000,5,
C:\Users\holde\OneDrive\Desktop\495 data\Data\motor constant 150 mV,imported,10000,5,
C:\Users\holde\OneDrive\Desktop\495 data\Data\motor constant 150 mV 2,imported,10000,5,
C:\Users\holde\OneDrive\Desktop\495 data\Data\motor constant 175 mV,imported,10000,5,
C:\Users\holde\OneDrive\Desktop\495 data\Data\motor constant 175 mV 2,imported,10000,5,
C:\Users\holde\OneDrive\Desktop\495 data\Data\motor constant 200 mV,imported,10000,5,
C:\Users\holde\OneDrive\Desktop\495 data\Data\motor constant 200 mV 2,imported,10000,5,
C:\Users\holde\OneDrive\Desktop\495 data\Data\motor constant 50 mV 2,imported,10000,5,
C:\Users\holde\OneDrive\Desktop\495 data\Data\motor constant 50mV,imported,10000,5,
C:\Users\holde\OneDrive\Desktop\495 data\Data\motor constant 75 mV,imported,10000,5,
C:\Users\holde\OneDrive\Desktop\495 data\Data\motor constant 75 mV 2,imported,10000,5,
C:\Users\holde\OneDrive\Desktop\495 data\Data\motor disconnected,imported,40000,5,
C:\Users\holde\OneDrive\Desktop\495 data\Data\motor disconnected 2,imported,40000,5,
C:\Users\holde\OneDrive\Desktop\495 data\Data\motor resistance,imported,10000,5,
C:\Users\holde\OneDrive\Desktop\495 data\Data\motor resistance 2,imported,10000,5,
C:\Users\holde\OneDrive\Desktop\495 data\Data\motor resistance 20 hz,imported,10000,5,
C:\Users\holde\OneDrive\Desktop\495 data\Data\motor resistance 20hz 2,imported,10000,5,
