Parameter,TrackedPeakSensitivity,MovingCostSensitivity,OriginalBandCostSensitivity
Rm,-0.756603424605883,-0.869931291320325,-0.868757855552844
Km,0.513131602908737,0.739835323246247,0.737383254290929
Bs,-0.326378691551218,-0.1746513691279,-0.175596238639392
Bm,-0.411527313266003,-0.219986119361905,-0.221969061093933
driveInertiaFactor,0.63492017606962,0.110471414103394,-0.0622056871856792
loadInertiaFactor,-0.646975272414857,-0.574573103224198,-0.756594050949888
Ds,-0.0166861610202433,-0.0277764826466439,1.39601003643479
Ls,0.00416948260108299,0.00688675436490844,-0.353522955929394
rho,-0.0120554776122857,-0.464083771059343,-0.817893176322791
Df,-0.0482402807282876,-1.85628876791775,-3.20075721686363
Lf,-0.0120554776123031,-0.464083771059343,-0.817893176322791
Jm,0.00788475728756781,0.0013677854128958,-0.000777064267591539
Bb,-0.0103256094260944,-0.00556977835608029,-0.00558009759374349
Gs,-0.00416991739509266,-0.00688043818122918,0.355075705797519
