Parameter,ReplicateCombination,PeakReduction_pct,CostReduction_pct,TransientReduction_pct
Rm,1-1-1,32.9548568841549,35.9377479891338,38.542870868674
Km,1-1-1,35.1722479972973,40.6195708691556,45.0501076220245
Bs,1-1-1,85.642695797178,82.8251151480804,33.2351868304929
Bm,1-1-1,77.4060769827261,66.0141837031321,32.9834870534327
Rm,1-1-2,32.9599481438534,35.9392709529618,38.5428803951708
Km,1-1-2,35.181969972907,40.6223108536692,45.0500905996816
Bs,1-1-2,85.6495144315002,82.8635997091732,33.3357094632745
Bm,1-1-2,77.3833702873412,65.9923132027459,32.9640023871889
Rm,1-2-1,32.6781373812054,35.8546500898156,38.5397078306955
Km,1-2-1,34.6423396006289,40.470146542186,45.0491468471824
Bs,1-2-1,86.1560874725138,83.1211880429433,33.290429635058
Bm,1-2-1,77.1518505057198,65.2051010502827,30.9861104853469
Rm,1-2-2,32.6836821526923,35.8562773114622,38.5397172766138
Km,1-2-2,34.6530125083065,40.4730898417838,45.0491298474603
Bs,1-2-2,86.1622669299353,83.1590701564416,33.3908418820416
Bm,1-2-2,77.1266329324512,65.180370058378,30.9652340209635
Rm,2-1-1,32.7759557989857,35.8850796953497,38.5427846494745
Km,2-1-1,34.8295574541946,40.524640420561,45.0504209554749
Bs,2-1-1,85.6004979783084,81.9021261368941,30.8835829846085
Bm,2-1-1,78.0569484109289,66.5898489425899,33.4217548581408
Rm,2-1-2,32.7813416499997,35.8866697450444,38.5427942251142
Km,2-1-2,34.8398958062899,40.5275114832574,45.0504039410321
Bs,2-1-2,85.6076637250061,81.9507515927981,30.9895889758084
Bm,2-1-2,78.0347126121179,66.5684532712924,33.4024555728429
Rm,2-2-1,32.4829684676741,35.7983692900042,38.5396216820868
Km,2-2-1,34.2653993780913,40.3680383377564,45.0494602557504
Bs,2-2-1,86.1295466781391,82.2139301744168,30.9411504712167
Bm,2-2-1,77.8665302000881,65.8496284050067,31.456163513621
Rm,2-2-2,32.4888487799567,35.8000731551994,38.5396311767793
Km,2-2-2,34.2767830616078,40.3711314579365,45.0494432639857
Bs,2-2-2,86.1360225457225,82.2618229988274,31.0470420800747
Bm,2-2-2,77.8419240169356,65.8255015758124,31.4354931593461
