pt,pa,envelope
0.066,8.28581755122439,9.1381531777611
0.191,7.49629244877561,7.88833926518819
0.3185,6.67448755122439,6.7894605726383
0.4425,5.99099244877561,5.86777429833927
0.57,5.28275755122439,5.05036876691236
0.6945,4.67641244877561,4.36220156244179
0.82,4.06030755122439,3.76337403839896
0.943,3.51996244877561,3.25631565627247
1.0685,2.97739755122439,2.80930021830266
1.1895,2.48845244877561,2.436515796057
1.315,2.00202755122439,2.10203956873033
1.434,1.56719244877561,1.82740130578577
