Parameter,FixedBandCostSensitivity,MovingBandCostSensitivity,PeakSensitivity,FrequencySensitivity
Km,0.737383254290929,0.739835323246247,0.513131602908737,-0.00340731041988195
Rm,-0.868757855552844,-0.869931291320325,-0.756603424605883,0.00163091096346778
Jm,-0.000777064267591539,0.0013677854128958,0.00788475728756781,-0.00298167007333331
Df,-3.20075721686363,-1.85628876791775,-0.0482402807282876,-1.97702571751628
Lf,-0.817893176322791,-0.464083771059343,-0.0120554776123031,-0.494279049269898
rho,-0.817893176322791,-0.464083771059343,-0.0120554776122857,-0.494279049269914
Ds,1.39601003643479,-0.0277764826466439,-0.0166861610202433,2.01170337489202
Ls,-0.353522955929394,0.00688675436490844,0.00416948260108299,-0.502881407967511
Gs,0.355075705797519,-0.00688043818122918,-0.00416991739509266,0.502846662220013
Bs,-0.175596238639392,-0.1746513691279,-0.326378691551218,-0.00131351501679806
Bb,-0.00558009759374349,-0.00556977835608029,-0.0103256094260944,-1.43453189712826e-05
Bm,-0.221969061093933,-0.219986119361905,-0.411527313266003,-0.00275659384827143
