Time_s,BaselineMotor_rad_s,BaselineDistal_rad_s,BaselineRipple_rad_s,Rm_Ripple_rad_s,Km_Ripple_rad_s,Bs_Ripple_rad_s,Bm_Ripple_rad_s
0,0,-8.88178419700125e-16,-4.46829676866978e-16,-2.23414838433489e-16,0,6.70244515300467e-16,0
0.001,0.00488816003228987,9.70620383622389e-07,-0.00245867408763104,-0.00200690218309996,-0.00132689810220981,-0.00243903972256373,-0.0024404470604695
0.002,0.0144004516459391,8.19554855002735e-06,-0.0072405352333987,-0.00529626983447843,-0.00390833669394096,-0.00711772414426789,-0.00712648977194427
0.003,0.0252068672501471,2.86303452976533e-05,-0.0126668056898664,-0.00873432302858238,-0.0068392261455701,-0.0123308731869514,-0.0123547263873384
0.004,0.0363447369129517,6.94624658468257e-05,-0.0182495642766612,-0.0121711773955175,-0.00985669892627973,-0.0175858346407544,-0.0176326662885278
0.005,0.0475322542896128,0.000137904963930957,-0.023843409527632,-0.0155837307382836,-0.0128824560796999,-0.0227388595228439,-0.0228162049789135
0.006,0.0586834801101941,0.000241130670896705,-0.0294014980955347,-0.0189652520204898,-0.0158912617722852,-0.0277467329665721,-0.0278615725325805
0.007,0.0697688711523075,0.000386246848846028,-0.0349053916533638,-0.0223111626398407,-0.0188731580274565,-0.0325953442679447,-0.0327539978428179
0.008,0.0807751766726663,0.000580281567191143,-0.0403448882246644,-0.0256172094028869,-0.0218226103635912,-0.037279142105041,-0.0374871942610076
0.009,0.0916939112095503,0.000830173542338386,-0.0457122281292019,-0.0288792337630733,-0.024735392108355,-0.0417952234792662,-0.0420574607442032
0.01,0.102518045373093,0.00114276307280425,-0.0510004337279781,-0.0320931466169732,-0.0276076924057276,-0.0461416309482379,-0.0464619860889421
0.011,0.11324105987335,0.0015247833964529,-0.0562028378665264,-0.0352549294984498,-0.0304358631543586,-0.0503168599422044,-0.0506983617513974
0.012,0.123856679047417,0.00198285228377548,-0.0613129540455693,-0.0383606390852618,-0.0332163494843249,-0.0543197139267661,-0.0547644420691769
0.013,0.134358799662583,0.00252346382098256,-0.0663244447367238,-0.0414064120387865,-0.0359456729089481,-0.0581492594516409,-0.0586583042188433
0.014,0.144741475734155,0.003152980376814,-0.0712311177859544,-0.0443884697877698,-0.038620429543574,-0.0618048097831789,-0.0623782366848347
0.015,0.154998919302169,0.00387762475826703,-0.076026930750659,-0.0473031232008567,-0.0412372925806272,-0.0652859166227921,-0.0659227357583488
0.016,0.1651255056413,0.00470347256353598,-0.080705997367829,-0.0501467771357856,-0.0437930159107653,-0.0685923640241609,-0.069290504178044
0.017,0.175115779583376,0.00563644474114433,-0.0852625944782052,-0.0529159348588516,-0.0462844379927999,-0.0717241628238743,-0.0724804502214473
0.018,0.184964461991693,0.00668230036422823,-0.0896911689185631,-0.0556072023291241,-0.0487084857110636,-0.0746815451085384,-0.0754916867631473
0.019,0.194666456105233,0.00784662962871341,-0.0939863442359163,-0.0582172923421949,-0.0510621781417553,-0.0774649585888172,-0.0783235301631852
0.02,0.204216853666376,0.00913484708385814,-0.0981429271758921,-0.0607430285284137,-0.0533426302024781,-0.0800750608507721,-0.080975498949101
0.021,0.21361094080214,0.0105521851033146,-0.102155913926113,-0.0631813492007952,-0.0555470561744288,-0.0825127134835108,-0.0834473122840113
0.022,0.222844203645438,0.012103687604526,-0.10602049610385,-0.0655293110479551,-0.0576727730912106,-0.0847789760903326,-0.0857388882215604
0.023,0.231912333687903,0.0137942040239611,-0.109732066479925,-0.0677840926676619,-0.0597172039896735,-0.0868751001928381,-0.087850341751158
0.024,0.240811232857455,0.0156283835553346,-0.113286224431825,-0.0699429979368004,-0.0616778810187192,-0.0888025230380334,-0.089781982637793
0.025,0.249537018314576,0.0176106696575959,-0.116678781119593,-0.0720034592137481,-0.0635524484023084,-0.0905628613185343,-0.091534313061092
