file,rows,columns,kind
motor connected unplugged 2,20000,5,time history
motor constant 175 mV,10000,5,time history
2nd measurement,21,12,frequency sweep
last test,20000,5,time history
motor constant 200 mV,10000,5,time history
motor disconnected,40000,5,time history
motor constant 125 mV,10000,5,time history
motor constant 200 mV 2,10000,5,time history
eraser right side 2,20000,5,time history
eraser right side 1,20000,5,time history
motor disconnected 2,40000,5,time history
eraser left side 1,20000,5,time history
motor constant 150 mV,10000,5,time history
motor constant 100 mV,10000,5,time history
motor resistance 20hz 2,10000,5,time history
1st measurement,155,12,frequency sweep
motor constant 75 mV,10000,5,time history
motor resistance 20 hz,10000,5,time history
motor constant 50mV,10000,5,time history
motor constant 50 mV 2,10000,5,time history
motor constant 150 mV 2,10000,5,time history
motor constant 100 mV 2,10000,5,time history
motor resistance,10000,5,time history
eraser 1,20000,5,time history
motor constant 125 mV 2,10000,5,time history
motor constant 75 mV 2,10000,5,time history
eraser left side 2,20000,5,time history
motor constant 175 mV 2,10000,5,time history
motor connected unplugged,40000,5,time history
motor resistance 2,10000,5,time history
3rd,6,12,frequency sweep
