parameter,S_cost,S_peak
Km,0.7330716561562218,0.4995276803890622
Rm,-0.8666015048965351,-0.7497997380653634
Jm,-0.001241786852777695,0.007148315632159177
Df,-3.214336341294233,-0.043113485762990095
Lf,-0.821322991183156,-0.010774226291594581
rho,-0.8213229911831648,-0.010774226291594581
Ds,1.3901126890197457,-0.014506711340668573
Ls,-0.35194557504570867,0.0036248504052483104
Gs,0.35348896395737583,-0.0036252144515620853
Bs,-0.20599826240233193,-0.38720872867391415
Bb,-0.005391922610008729,-0.010091607384015946
Bm,-0.18411591724947157,-0.34521738308987093
