Nominal_Hz,Measured_Hz,Count,Gain_rad_s_V,Magnitude_dB,Phase_deg,ComplexScatter_rad_s_V
4,4.0001,5,0.452770429569777,-6.88243889319908,-89.9681208151523,0.0227770057431545
4.2,4.20034,5,0.455839338891877,-6.82376395931108,-95.9596950270982,0.0262040990246605
4.4,4.40008,5,0.478557501609996,-6.40131743228592,-99.8764230886717,0.01701752685416
4.6,4.6,5,0.499444321391702,-6.03025840742469,-104.817303323202,0.0115949907347142
4.8,4.7999,5,0.559011470216024,-5.05158561685405,-108.503977237368,0.0098307548334942
5,5.00018333333333,6,0.725077380768068,-2.79231285486197,-111.042060885156,0.0310847026564397
5.1,5.1,1,0.780368984178465,-2.154,-110.8003,0
5.2,5.20003333333333,6,0.947611779118202,-0.467390989921659,-115.905429751276,0.0485664876555107
5.3,5.3,1,1.01065981966699,0.0920999999999998,-119.6032,0
5.4,5.4001,6,1.40578431399808,2.95837386138643,-120.340115981984,0.0537037449277185
5.5,5.50005,2,1.77489124337818,4.98343493545291,-131.188160151371,0.124699253730043
5.55,5.55,1,2.07171494984947,6.3266,-136.3227,0
5.6,5.60007142857143,7,2.37541678285854,7.51479641071481,-155.564623954664,0.295457181442716
5.65,5.6501,1,2.68707630943067,8.5856,-178.4642,0
5.7,5.7002,2,2.48838106256932,7.91833775107427,-190.537288138097,0.268472889275629
5.75,5.7494,1,2.39422521333314,7.5833,-210.642,0
5.8,5.80003333333333,6,2.22182566233337,6.93419957223189,-215.333716947214,0.0532002776284099
5.9,5.9,1,1.73430309848199,4.7825,-224.9216,0
6,6,6,1.38910124362449,2.85467800251419,-238.107894256045,0.0363240468441956
6.1,6.1001,1,1.17537107811604,1.4035,-243.1118,0
6.2,6.20008333333333,6,0.890781867904025,-1.00457263449713,-244.692257928872,0.040579850506756
6.3,6.2996,1,0.773205616417668,-2.2341,-245.143,0
6.4,6.40008333333333,6,0.650948120659641,-3.72907245011249,-247.712602043417,0.0181935659195798
6.5,6.4999,1,0.588789423348187,-4.6008,-242.8087,0
6.6,6.60005,6,0.477065524597455,-6.42843933673474,-254.585137974314,0.0360357541719668
6.7,6.7002,1,0.459801093738631,-6.7486,-253.7005,0
6.8,6.8001,6,0.383340243825693,-8.32831170497417,-253.534770093984,0.0261083798071544
6.9,6.9,1,0.344540278157587,-9.2552,-253.2619,0
7,7.00036666666667,6,0.324522612810851,-9.77510072138235,-254.480555543191,0.0276201997921089
7.2,7.20008,5,0.276523644568649,-11.1653545554201,-256.323599899272,0.00610427393802138
7.4,7.40004,5,0.234278720301219,-12.6053431376175,-255.662703857336,0.00963719730014371
7.6,7.60006,5,0.205019322036901,-13.7641041390247,-257.904018416427,0.00267828239117685
7.8,7.80012,5,0.173094690198355,-15.2343250841933,-255.109382855519,0.00770457850795448
8,8.00014,5,0.150271251097328,-16.4624819563305,-258.300644747851,0.00931685481989461
8.2,8.2001,5,0.136453577392144,-17.3003014796469,-260.394165471691,0.00161886811974285
8.4,8.40006,5,0.116846717066961,-18.6476697013327,-261.111162230168,0.00177873067609353
8.6,8.60004,5,0.104973471818156,-19.5784087802444,-261.428827723708,0.00320921332095962
8.8,8.80008,5,0.0976103528767075,-20.2100823436382,-262.000684134596,0.00186521730663766
9,9.00012,5,0.0873935909220835,-21.1704083105232,-262.633407947472,0.000965784417788722
9.2,9.20014,5,0.0799850873052031,-21.9398195363545,-263.728310377405,0.00094346786419405
9.4,9.40006,5,0.0726447715457588,-22.7759127534136,-264.588960608098,0.00169989772926932
9.6,9.60008,5,0.0662220604589453,-23.579946211326,-264.665864528479,0.00152527329694387
9.8,9.80006,5,0.0621907131011877,-24.1254892676095,-266.114350534003,0.0018140479796105
10,9.99998,5,0.0598263001882661,-24.4621570842267,-265.10396614294,0.000765322764631037
