Path,Status,Rows,Columns,Note
/Users/paidsebs/Documents/me495/lab1 /data/1st measurement.txt,imported,155,12,
/Users/paidsebs/Documents/me495/lab1 /data/2nd measurement.txt,imported,21,12,
/Users/paidsebs/Documents/me495/lab1 /data/3rd.txt,imported,6,12,
/Users/paidsebs/Documents/me495/lab1 /data/eraser 1.txt,imported,20000,5,
/Users/paidsebs/Documents/me495/lab1 /data/eraser left side 1.txt,imported,20000,5,
/Users/paidsebs/Documents/me495/lab1 /data/eraser left side 2.txt,imported,20000,5,
/Users/paidsebs/Documents/me495/lab1 /data/eraser right side 1.txt,imported,20000,5,
/Users/paidsebs/Documents/me495/lab1 /data/eraser right side 2.txt,imported,20000,5,
/Users/paidsebs/Documents/me495/lab1 /data/last test.txt,imported,20000,5,
/Users/paidsebs/Documents/me495/lab1 /data/motor connected unplugged 2.txt,imported,20000,5,
/Users/paidsebs/Documents/me495/lab1 /data/motor connected unplugged.txt,imported,40000,5,
/Users/paidsebs/Documents/me495/lab1 /data/motor constant 100 mV 2.txt,imported,10000,5,
/Users/paidsebs/Documents/me495/lab1 /data/motor constant 100 mV.txt,imported,10000,5,
/Users/paidsebs/Documents/me495/lab1 /data/motor constant 125 mV 2.txt,imported,10000,5,
/Users/paidsebs/Documents/me495/lab1 /data/motor constant 125 mV.txt,imported,10000,5,
/Users/paidsebs/Documents/me495/lab1 /data/motor constant 150 mV 2.txt,imported,10000,5,
/Users/paidsebs/Documents/me495/lab1 /data/motor constant 150 mV.txt,imported,10000,5,
/Users/paidsebs/Documents/me495/lab1 /data/motor constant 175 mV 2.txt,imported,10000,5,
/Users/paidsebs/Documents/me495/lab1 /data/motor constant 175 mV.txt,imported,10000,5,
/Users/paidsebs/Documents/me495/lab1 /data/motor constant 200 mV 2.txt,imported,10000,5,
/Users/paidsebs/Documents/me495/lab1 /data/motor constant 200 mV.txt,imported,10000,5,
/Users/paidsebs/Documents/me495/lab1 /data/motor constant 50 mV 2.txt,imported,10000,5,
/Users/paidsebs/Documents/me495/lab1 /data/motor constant 50mV.txt,imported,10000,5,
/Users/paidsebs/Documents/me495/lab1 /data/motor constant 75 mV 2.txt,imported,10000,5,
/Users/paidsebs/Documents/me495/lab1 /data/motor constant 75 mV.txt,imported,10000,5,
/Users/paidsebs/Documents/me495/lab1 /data/motor disconnected 2.txt,imported,40000,5,
/Users/paidsebs/Documents/me495/lab1 /data/motor disconnected.txt,imported,40000,5,
/Users/paidsebs/Documents/me495/lab1 /data/motor resistance 2.txt,imported,10000,5,
/Users/paidsebs/Documents/me495/lab1 /data/motor resistance 20 hz.txt,imported,10000,5,
/Users/paidsebs/Documents/me495/lab1 /data/motor resistance 20hz 2.txt,imported,10000,5,
/Users/paidsebs/Documents/me495/lab1 /data/motor resistance.txt,imported,10000,5,
