pt,pa,envelope
0.297,10.4064463918041,11.5608499239514
0.4235,9.4519336081959,10.0749566414949
0.5525,8.4695963918041,8.75620348788751
0.677,7.6768936081959,7.64740125439414
0.805,6.8363563918041,6.65363300575267
0.9295,6.1484836081959,5.81108027752642
1.057,5.4261563918041,5.05868913881031
1.1805,4.8167536081959,4.42291231641188
1.307,4.1848763918041,3.85444410316789
1.43,3.6355136081959,3.37184996321723
1.555,3.0826063918041,2.94327011924703
1.678,2.5897736081959,2.57475915532538
1.802,2.0936263918041,2.24993926971764
1.921,1.6543236081959,1.97681717358968
