Parameter,FixedBandCostSensitivity,MovingBandCostSensitivity,PeakSensitivity,FrequencySensitivity
Km,0.733071499575723,0.735263655768421,0.49952767656009,-0.00306234488986373
Rm,-0.866601426586361,-0.867697762420892,-0.749799736149804,0.00153132403902235
Jm,-0.00124189629049193,0.000898730729547663,0.00714831253996168,-0.00299058635410087
Df,-3.21441155033145,-1.87628703715414,-0.0431134900581704,-1.97817401015546
Lf,-0.821341202267206,-0.469165685661467,-0.0107742097873068,-0.494450491605941
rho,-0.821341202267214,-0.469165685661459,-0.0107742097872813,-0.494450491605956
Ds,1.39018945556867,-0.0259682544622568,-0.0145068566461948,2.01039347953468
Ls,-0.351964171367279,0.00646708970973337,0.00362486482323284,-0.502597573329304
Gs,0.35350755888936,-0.0064604136892753,-0.00362524684440414,0.502562328662864
Bs,-0.205998350867706,-0.204939394444633,-0.38720873076766,-0.0014794290354818
Bb,-0.00539192404750623,-0.00538072236977936,-0.0100916073991,-1.56494213698363e-05
Bm,-0.184116025242295,-0.182604134811366,-0.345217385719611,-0.00211220329630666
