Flexible Shaft
9/10/2026 3:18:49 PM
Sample Rate (Hz) = 2000.00
Effective Sample Rate (Hz) = 2000.00
time (s)	Voltage (V)	Current (A)	Distal Tach (rad/s)	Motor Tach (rad/s)

0.0000	0.0860	0.0216	-0.0061	0.0117
0.0005	0.0854	0.0250	-0.0066	0.0050
0.0010	0.0848	0.0263	-0.0050	0.0068
0.0015	0.0846	0.0201	-0.0055	0.0087
0.0020	0.0842	0.0218	-0.0060	0.0062
0.0025	0.0846	0.0248	-0.0042	0.0099
0.0030	0.0836	0.0256	-0.0071	0.0060
0.0035	0.0842	0.0207	-0.0064	0.0071
0.0040	0.0817	0.0246	-0.0067	0.0040
0.0045	0.0812	0.0192	-0.0078	0.0046
0.0050	0.0827	0.0232	-0.0060	-0.0006
0.0055	0.0816	0.0231	-0.0086	0.0102
0.0060	0.0821	0.0239	-0.0073	0.0065
0.0065	0.0824	0.0252	-0.0068	0.0130
0.0070	0.0813	0.0233	-0.0060	0.0090
0.0075	0.0824	0.0236	-0.0065	0.0057
0.0080	0.0825	0.0248	-0.0032	0.0042
0.0085	0.0827	0.0239	-0.0057	0.0073
0.0090	0.0832	0.0244	-0.0057	0.0105
0.0095	0.0837	0.0225	-0.0057	0.0018
0.0100	0.0843	0.0230	-0.0036	0.0037
0.0105	0.0840	0.0223	-0.0045	0.0094
0.0110	0.0844	0.0236	-0.0051	-0.0016
0.0115	0.0847	0.0231	-0.0025	0.0020
0.0120	0.0849	0.0253	-0.0030	0.0015
0.0125	0.0873	0.0239	-0.0059	0.0036
0.0130	0.0862	0.0246	-0.0044	0.0080
0.0135	0.0859	0.0210	-0.0063	0.0026
0.0140	0.0867	0.0279	-0.0042	0.0078
0.0145	0.0855	0.0254	-0.0051	0.0060
0.0150	0.0868	0.0230	-0.0054	0.0141
0.0155	0.0868	0.0210	-0.0053	0.0050
0.0160	0.0854	0.0216	-0.0059	0.0058
0.0165	0.0860	0.0245	-0.0074	0.0061
0.0170	0.0856	0.0228	-0.0066	0.0041
0.0175	0.0849	0.0251	-0.0083	0.0038
0.0180	0.0847	0.0211	-0.0046	0.0051
0.0185	0.0840	0.0247	-0.0070	0.0025
0.0190	0.0845	0.0212	-0.0057	0.0098
0.0195	0.0835	0.0253	-0.0056	0.0016
0.0200	0.0836	0.0242	-0.0078	0.0092
0.0205	0.0828	0.0245	-0.0059	0.0078
