Flexible Shaft
9/10/2026 3:22:23 PM
Sample Rate (Hz) = 2000.00
Effective Sample Rate (Hz) = 2000.00
time (s)	Voltage (V)	Current (A)	Distal Tach (rad/s)	Motor Tach (rad/s)

0.0000	0.0056	0.0005	8.4601	0.0501
0.0005	0.0056	0.0008	8.6733	0.0466
0.0010	0.0055	-0.0027	8.8313	0.0564
0.0015	0.0056	0.0016	8.8071	0.0556
0.0020	0.0058	-0.0018	8.8161	0.0607
0.0025	0.0060	-0.0005	9.0051	0.0602
0.0030	0.0058	-0.0001	9.1829	0.0575
0.0035	0.0059	-0.0017	9.1757	0.0544
0.0040	0.0063	-0.0025	9.1607	0.0609
0.0045	0.0061	0.0004	9.3256	0.0640
0.0050	0.0064	0.0018	9.5098	0.0607
0.0055	0.0063	-0.0011	9.5208	0.0610
0.0060	0.0068	-0.0017	9.4846	0.0591
0.0065	0.0068	-0.0020	9.6177	0.0663
0.0070	0.0069	0.0013	9.8090	0.0693
0.0075	0.0068	0.0018	9.8453	0.0667
0.0080	0.0068	-0.0017	9.7931	0.0723
0.0085	0.0068	-0.0008	9.8911	0.0656
0.0090	0.0067	-0.0023	10.0754	0.0722
0.0095	0.0074	0.0011	10.1355	0.0667
0.0100	0.0075	-0.0027	10.0813	0.0787
0.0105	0.0073	-0.0018	10.1380	0.0713
0.0110	0.0075	0.0021	10.2856	0.0743
0.0115	0.0076	0.0001	10.3232	0.0737
0.0120	0.0080	0.0024	10.3341	0.0705
0.0125	0.0077	0.0009	10.3335	0.0698
0.0130	0.0077	0.0025	10.4581	0.0761
0.0135	0.0073	0.0004	10.5745	0.0788
0.0140	0.0077	-0.0011	10.5660	0.0744
0.0145	0.0082	0.0042	10.5251	0.0734
0.0150	0.0079	-0.0017	10.6181	0.0771
0.0155	0.0078	-0.0020	10.7441	0.0806
0.0160	0.0080	-0.0023	10.7455	0.0792
0.0165	0.0083	-0.0006	10.6663	0.0798
0.0170	0.0083	-0.0009	10.7188	0.0837
0.0175	0.0083	-0.0027	10.8348	0.0842
0.0180	0.0083	-0.0046	10.7864	0.0817
0.0185	0.0084	-0.0024	10.6328	0.0837
0.0190	0.0087	-0.0005	10.6614	0.0846
0.0195	0.0083	0.0024	10.8216	0.0870
0.0200	0.0086	-0.0003	10.8668	0.0908
0.0205	0.0090	0.0001	10.8018	0.0852
0.0210	0.0083	-0.0015	10.8103	0.0877
0.0215	0.0089	-0.0012	10.9539	0.0868
0.0220	0.0090	-0.0029	11.0107	0.0867
0.0225	0.0089	-0.0044	10.9359	0.0894
0.0230	0.0087	0.0001	10.9160	0.0920
0.0235	0.0085	-0.0015	11.0561	0.0858
0.0240	0.0088	-0.0014	11.1643	0.0861
0.0245	0.0089	-0.0026	11.0897	0.0912
0.0250	0.0091	-0.0012	11.0282	0.0854
0.0255	0.0089	0.0002	11.1352	0.0875
0.0260	0.0088	-0.0011	11.2489	0.0873
0.0265	0.0090	-0.0038	11.1841	0.0892
0.0270	0.0091	0.0003	11.0824	0.0923
0.0275	0.0091	-0.0051	11.1390	0.0858
0.0280	0.0087	-0.0003	11.2632	0.0900
0.0285	0.0090	-0.0019	11.2409	0.0894
0.0290	0.0087	-0.0002	11.1338	0.0868
0.0295	0.0087	-0.0022	11.1550	0.0920
0.0300	0.0089	-0.0028	11.2706	0.0858
0.0305	0.0089	-0.0031	11.2551	0.0892
0.0310	0.0085	0.0003	11.1230	0.0848
0.0315	0.0086	-0.0038	11.1073	0.0859
0.0320	0.0087	-0.0033	11.2361	0.0875
0.0325	0.0088	-0.0036	11.2672	0.0926
0.0330	0.0094	-0.0025	11.1392	0.0939
0.0335	0.0097	-0.0020	11.0755	0.0943
0.0340	0.0096	-0.0007	11.1664	0.0919
0.0345	0.0097	-0.0017	11.1938	0.0952
0.0350	0.0095	-0.0034	11.0613	0.0931
0.0355	0.0090	-0.0000	10.9723	0.0906
0.0360	0.0090	-0.0035	11.0482	0.0869
0.0365	0.0083	-0.0022	11.0988	0.0844
0.0370	0.0088	0.0004	10.9804	0.0813
0.0375	0.0089	0.0014	10.8700	0.0863
0.0380	0.0092	-0.0004	10.9158	0.0858
0.0385	0.0091	-0.0032	10.9675	0.0918
0.0390	0.0093	0.0009	10.8584	0.0972
0.0395	0.0098	-0.0007	10.7204	0.0948
0.0400	0.0093	0.0012	10.7383	0.0920
0.0405	0.0093	-0.0023	10.8016	0.0949
0.0410	0.0089	-0.0029	10.7117	0.0881
0.0415	0.0085	-0.0028	10.5511	0.0829
0.0420	0.0086	-0.0029	10.5397	0.0850
0.0425	0.0091	-0.0033	10.5959	0.0890
0.0430	0.0086	0.0054	10.5142	0.0843
0.0435	0.0096	0.0006	10.3427	0.0861
0.0440	0.0093	-0.0007	10.2926	0.0938
0.0445	0.0092	0.0019	10.3397	0.0973
0.0450	0.0095	-0.0004	10.2772	0.1009
0.0455	0.0095	-0.0030	10.0963	0.0901
0.0460	0.0091	0.0008	10.0185	0.0899
0.0465	0.0086	-0.0031	10.0589	0.0863
0.0470	0.0073	-0.0015	10.0090	0.0740
0.0475	0.0068	-0.0010	9.8305	0.0611
0.0480	0.0065	0.0033	9.7217	0.0575
0.0485	0.0070	-0.0032	9.7487	0.0677
0.0490	0.0083	0.0031	9.7018	0.0763
0.0495	0.0088	0.0021	9.5204	0.0867
0.0500	0.0099	0.0035	9.3949	0.0919
0.0505	0.0106	-0.0020	9.4084	0.0989
0.0510	0.0106	-0.0035	9.3810	0.1049
0.0515	0.0100	0.0013	9.2106	0.1013
0.0520	0.0091	-0.0035	9.0676	0.0889
0.0525	0.0075	0.0030	9.0655	0.0780
0.0530	0.0068	-0.0028	9.0556	0.0709
0.0535	0.0063	0.0001	8.8886	0.0691
0.0540	0.0072	-0.0000	8.7059	0.0615
0.0545	0.0078	0.0012	8.6705	0.0734
0.0550	0.0082	-0.0002	8.6699	0.0837
0.0555	0.0095	0.0012	8.5179	0.0916
0.0560	0.0100	-0.0021	8.2134	0.0972
0.0565	0.0095	0.0021	8.0390	0.0979
0.0570	0.0094	0.0020	8.0296	0.0961
0.0575	0.0080	-0.0032	7.9156	0.0835
0.0580	0.0076	0.0001	7.7374	0.0777
0.0585	0.0067	0.0005	7.6380	0.0768
0.0590	0.0069	-0.0020	7.6353	0.0623
0.0595	0.0066	0.0015	7.5642	0.0677
0.0600	0.0075	-0.0021	7.4020	0.0775
0.0605	0.0083	-0.0040	7.2830	0.0827
0.0610	0.0089	0.0026	7.2748	0.0887
0.0615	0.0092	-0.0039	7.2223	0.0913
0.0620	0.0086	-0.0022	7.0523	0.0940
0.0625	0.0083	0.0004	6.9141	0.0859
0.0630	0.0076	0.0003	6.8923	0.0743
0.0635	0.0069	-0.0045	6.8705	0.0731
0.0640	0.0064	-0.0031	6.7097	0.0621
0.0645	0.0065	-0.0017	6.5336	0.0641
0.0650	0.0066	0.0026	6.4856	0.0598
0.0655	0.0071	-0.0025	6.4655	0.0768
0.0660	0.0077	0.0003	6.3229	0.0745
0.0665	0.0081	0.0009	6.1317	0.0781
0.0670	0.0079	-0.0020	6.0586	0.0792
0.0675	0.0079	-0.0008	6.0450	0.0796
0.0680	0.0070	0.0015	5.9147	0.0702
0.0685	0.0064	-0.0027	5.7146	0.0627
0.0690	0.0055	-0.0048	5.6211	0.0565
0.0695	0.0054	0.0001	5.6079	0.0577
0.0700	0.0056	-0.0004	5.4958	0.0594
0.0705	0.0055	-0.0014	5.2975	0.0595
0.0710	0.0059	-0.0024	5.1764	0.0584
0.0715	0.0061	-0.0011	5.1480	0.0539
0.0720	0.0056	-0.0011	5.0638	0.0566
0.0725	0.0058	0.0003	4.8710	0.0482
0.0730	0.0049	-0.0001	4.7234	0.0421
0.0735	0.0045	-0.0025	4.6815	0.0454
0.0740	0.0047	-0.0035	4.6037	0.0451
0.0745	0.0049	0.0018	4.4237	0.0398
0.0750	0.0050	-0.0020	4.2547	0.0455
0.0755	0.0054	-0.0028	4.1958	0.0481
0.0760	0.0056	-0.0026	4.1349	0.0565
0.0765	0.0057	-0.0008	3.9633	0.0554
0.0770	0.0056	-0.0041	3.7748	0.0575
0.0775	0.0055	0.0018	3.7005	0.0536
0.0780	0.0051	-0.0050	3.6472	0.0463
0.0785	0.0043	-0.0010	3.4905	0.0374
0.0790	0.0041	0.0036	3.2911	0.0450
0.0795	0.0038	-0.0020	3.1948	0.0370
0.0800	0.0043	0.0014	3.1461	0.0404
0.0805	0.0039	0.0025	3.0041	0.0431
0.0810	0.0047	0.0015	2.8085	0.0517
0.0815	0.0047	-0.0007	2.6891	0.0430
0.0820	0.0050	0.0010	2.6348	0.0451
0.0825	0.0048	-0.0015	2.5087	0.0453
0.0830	0.0042	-0.0013	2.3120	0.0404
0.0835	0.0042	0.0001	2.1780	0.0394
0.0840	0.0035	-0.0034	2.1156	0.0386
0.0845	0.0032	-0.0005	2.0024	0.0356
0.0850	0.0033	-0.0000	1.8091	0.0386
0.0855	0.0037	0.0003	1.6599	0.0315
0.0860	0.0038	0.0010	1.5892	0.0386
0.0865	0.0038	-0.0024	1.4845	0.0332
