Flexible Shaft
9/10/2026 3:32:17 PM
Sample Rate (Hz) = 2000.00
Effective Sample Rate (Hz) = 2000.00
time (s)	Voltage (V)	Current (A)	Distal Tach (rad/s)	Motor Tach (rad/s)

0.0000	2.0361	0.2187	12.3357	12.6406
0.0005	2.0359	0.2238	12.4350	12.6975
0.0010	2.0352	0.2257	12.5276	12.7152
0.0015	2.0350	0.2311	12.4543	12.7011
0.0020	2.0348	0.2314	12.3804	12.6732
0.0025	2.0339	0.2341	12.4696	12.6285
0.0030	2.0329	0.2407	12.5885	12.5863
0.0035	2.0333	0.2428	12.5459	12.5659
0.0040	2.0331	0.2415	12.4493	12.5604
0.0045	2.0324	0.2458	12.5150	12.5716
0.0050	2.0327	0.2464	12.6531	12.5884
0.0055	2.0328	0.2440	12.6358	12.6187
0.0060	2.0323	0.2497	12.5237	12.6373
0.0065	2.0324	0.2524	12.5515	12.6454
0.0070	2.0312	0.2579	12.6969	12.6295
0.0075	2.0310	0.2608	12.7159	12.6029
0.0080	2.0305	0.2629	12.5997	12.5784
0.0085	2.0305	0.2648	12.5972	12.5618
0.0090	2.0313	0.2617	12.7334	12.5493
0.0095	2.0314	0.2569	12.7696	12.5457
0.0100	2.0320	0.2531	12.6543	12.5478
0.0105	2.0319	0.2484	12.6152	12.5650
0.0110	2.0324	0.2453	12.7453	12.5689
0.0115	2.0326	0.2451	12.8169	12.5717
0.0120	2.0331	0.2492	12.7124	12.5933
0.0125	2.0328	0.2469	12.6343	12.6166
0.0130	2.0335	0.2390	12.7436	12.6438
0.0135	2.0340	0.2362	12.8413	12.6434
0.0140	2.0329	0.2443	12.7571	12.6766
0.0145	2.0324	0.2470	12.6704	12.6807
0.0150	2.0320	0.2446	12.7550	12.6784
0.0155	2.0330	0.2466	12.8688	12.6683
0.0160	2.0335	0.2422	12.8131	12.6450
0.0165	2.0333	0.2443	12.7059	12.6158
0.0170	2.0333	0.2403	12.7545	12.5860
0.0175	2.0329	0.2443	12.8839	12.5432
0.0180	2.0327	0.2459	12.8684	12.5399
0.0185	2.0331	0.2431	12.7583	12.5319
0.0190	2.0334	0.2419	12.7714	12.5366
0.0195	2.0346	0.2295	12.8941	12.5406
0.0200	2.0352	0.2269	12.9038	12.5337
0.0205	2.0358	0.2160	12.7801	12.5407
0.0210	2.0354	0.2223	12.7713	12.5525
0.0215	2.0371	0.2117	12.8198	12.5546
0.0220	2.0375	0.2095	12.8588	12.5567
0.0225	2.0382	0.2022	12.7863	12.5586
0.0230	2.0383	0.1989	12.7248	12.5585
0.0235	2.0404	0.1897	12.8021	12.5647
0.0240	2.0433	0.1605	12.8600	12.5474
0.0245	2.0443	0.1563	12.7776	12.5629
0.0250	2.0448	0.1428	12.6933	12.5800
0.0255	2.0434	0.1571	12.7595	12.6078
0.0260	2.0442	0.1468	12.8331	12.6420
0.0265	2.0466	0.1355	12.7595	12.6674
0.0270	2.0460	0.1389	12.6587	12.6697
0.0275	2.0435	0.1614	12.6958	12.6788
0.0280	2.0424	0.1601	12.7717	12.6850
0.0285	2.0425	0.1665	12.7091	12.6892
0.0290	2.0435	0.1514	12.5942	12.6568
0.0295	2.0438	0.1606	12.6260	12.6142
0.0300	2.0417	0.1702	12.7419	12.5844
0.0305	2.0394	0.1913	12.7521	12.6054
