Flexible Shaft
9/10/2026 3:28:00 PM
Sample Rate (Hz) = 2000.00
Effective Sample Rate (Hz) = 2000.00
time (s)	Voltage (V)	Current (A)	Distal Tach (rad/s)	Motor Tach (rad/s)

0.0000	2.0365	0.2463	13.8142	13.7609
0.0005	2.0362	0.2543	13.8246	13.8247
0.0010	2.0364	0.2467	13.7384	13.8197
0.0015	2.0381	0.2270	13.7452	13.7775
0.0020	2.0393	0.2244	13.8574	13.6957
0.0025	2.0402	0.2161	13.8822	13.6067
0.0030	2.0397	0.2189	13.7895	13.5341
0.0035	2.0391	0.2204	13.7679	13.5117
0.0040	2.0387	0.2275	13.8753	13.5433
0.0045	2.0383	0.2287	13.9235	13.6304
0.0050	2.0380	0.2263	13.8416	13.7657
0.0055	2.0379	0.2311	13.7926	13.8660
0.0060	2.0379	0.2318	13.8838	13.9378
0.0065	2.0377	0.2352	13.9577	13.9554
0.0070	2.0368	0.2450	13.8885	13.8950
0.0075	2.0364	0.2490	13.8324	13.8039
0.0080	2.0357	0.2523	13.9180	13.7067
0.0085	2.0362	0.2532	13.9934	13.6187
0.0090	2.0352	0.2537	13.9313	13.5874
0.0095	2.0352	0.2583	13.8467	13.6147
0.0100	2.0348	0.2647	13.9367	13.6854
0.0105	2.0352	0.2634	13.9857	13.7740
0.0110	2.0354	0.2640	13.8554	13.8501
0.0115	2.0354	0.2610	13.8576	13.8987
0.0120	2.0351	0.2562	13.8826	13.8793
0.0125	2.0356	0.2570	13.9450	13.8406
0.0130	2.0363	0.2476	13.9172	13.7647
0.0135	2.0367	0.2430	13.8613	13.6881
0.0140	2.0370	0.2410	13.8685	13.6392
0.0145	2.0374	0.2435	13.9122	13.6301
0.0150	2.0372	0.2419	13.9024	13.6691
0.0155	2.0378	0.2375	13.8527	13.7387
0.0160	2.0381	0.2352	13.8229	13.8174
0.0165	2.0388	0.2225	13.8575	13.8924
0.0170	2.0393	0.2168	13.8357	13.9307
0.0175	2.0377	0.2328	13.7702	13.8956
0.0180	2.0361	0.2445	13.7186	13.8473
0.0185	2.0352	0.2636	13.7236	13.7942
0.0190	2.0344	0.2672	13.7846	13.7397
0.0195	2.0337	0.2709	13.7426	13.6907
0.0200	2.0330	0.2791	13.7082	13.6892
0.0205	2.0328	0.2862	13.7768	13.7148
0.0210	2.0320	0.2861	13.8667	13.7687
0.0215	2.0322	0.2868	13.8529	13.8021
0.0220	2.0326	0.2841	13.7919	13.8098
0.0225	2.0341	0.2713	13.8143	13.7930
0.0230	2.0362	0.2523	13.9061	13.7389
0.0235	2.0368	0.2492	13.9246	13.6521
0.0240	2.0387	0.2260	13.8613	13.5804
0.0245	2.0403	0.2163	13.8637	13.5514
0.0250	2.0412	0.2051	13.9643	13.5501
0.0255	2.0405	0.2080	13.9973	13.5940
0.0260	2.0407	0.2077	13.9335	13.6706
0.0265	2.0416	0.2018	13.9095	13.7623
0.0270	2.0427	0.1871	13.9837	13.8333
0.0275	2.0425	0.1879	14.0184	13.8656
0.0280	2.0431	0.1885	13.9577	13.8577
0.0285	2.0429	0.1912	13.9207	13.7875
0.0290	2.0411	0.2051	13.9824	13.7272
0.0295	2.0418	0.1967	14.0441	13.6747
0.0300	2.0420	0.1990	14.0050	13.6346
0.0305	2.0424	0.1920	13.9451	13.6119
0.0310	2.0440	0.1723	13.9758	13.6294
0.0315	2.0435	0.1776	14.0477	13.6591
0.0320	2.0451	0.1654	14.0317	13.7166
0.0325	2.0444	0.1706	13.9582	13.7732
0.0330	2.0439	0.1729	13.9646	13.8293
0.0335	2.0446	0.1723	14.0305	13.8587
0.0340	2.0442	0.1758	14.0164	13.8415
0.0345	2.0430	0.1823	13.9436	13.7993
0.0350	2.0424	0.1879	13.9323	13.7489
0.0355	2.0411	0.2001	13.9857	13.7055
0.0360	2.0406	0.2065	13.9758	13.6827
0.0365	2.0397	0.2172	13.8986	13.6750
0.0370	2.0386	0.2209	13.8724	13.6990
0.0375	2.0386	0.2290	13.9130	13.7311
0.0380	2.0379	0.2295	13.9116	13.7676
0.0385	2.0378	0.2320	13.8351	13.7873
0.0390	2.0373	0.2343	13.8030	13.7789
0.0395	2.0386	0.2299	13.8496	13.7357
0.0400	2.0388	0.2228	13.8501	13.6800
0.0405	2.0398	0.2182	13.7740	13.6269
0.0410	2.0400	0.2158	13.7251	13.5941
0.0415	2.0388	0.2220	13.7569	13.6055
0.0420	2.0383	0.2281	13.7532	13.6436
0.0425	2.0381	0.2261	13.6811	13.7223
0.0430	2.0388	0.2296	13.6165	13.7925
0.0435	2.0382	0.2285	13.6597	13.8299
0.0440	2.0383	0.2299	13.6722	13.8323
0.0445	2.0380	0.2312	13.6009	13.7981
0.0450	2.0377	0.2334	13.2052	13.7272
0.0455	2.0373	0.2413	13.0922	13.6573
0.0460	2.0361	0.2476	13.1773	13.6031
0.0465	2.0355	0.2515	13.1394	13.5966
0.0470	2.0353	0.2563	13.0931	13.6139
0.0475	2.0349	0.2604	13.1323	13.6445
0.0480	2.0349	0.2656	13.2341	13.7092
0.0485	2.0344	0.2644	13.2284	13.7814
0.0490	2.0344	0.2661	13.1571	13.8174
0.0495	2.0345	0.2700	13.1698	13.8304
0.0500	2.0343	0.2700	13.2687	13.7989
0.0505	2.0338	0.2720	13.2938	13.7400
0.0510	2.0346	0.2693	13.2212	13.6753
0.0515	2.0339	0.2773	13.2187	13.6271
0.0520	2.0342	0.2700	13.3203	13.6429
0.0525	2.0349	0.2591	13.3657	13.6731
0.0530	2.0353	0.2560	13.2982	13.6871
0.0535	2.0361	0.2482	13.2819	13.7290
0.0540	2.0372	0.2331	13.3775	13.7623
0.0545	2.0376	0.2366	13.4388	13.8056
0.0550	2.0374	0.2393	13.3803	13.8390
0.0555	2.0374	0.2418	13.3689	13.8423
0.0560	2.0367	0.2417	13.4596	13.8340
0.0565	2.0366	0.2481	13.5060	13.8124
0.0570	2.0353	0.2579	13.4509	13.7924
0.0575	2.0358	0.2508	13.4347	13.7735
0.0580	2.0356	0.2523	13.5345	13.7768
0.0585	2.0363	0.2492	13.5915	13.7742
0.0590	2.0363	0.2484	13.5329	13.7849
0.0595	2.0378	0.2313	13.4948	13.7857
0.0600	2.0386	0.2277	13.5816	13.8018
0.0605	2.0386	0.2290	13.6639	13.7929
0.0610	2.0383	0.2258	13.6265	13.7712
0.0615	2.0398	0.2161	13.5735	13.7496
0.0620	2.0407	0.2119	13.6367	13.7282
0.0625	2.0420	0.1918	13.7293	13.7147
0.0630	2.0432	0.1832	13.7147	13.6993
0.0635	2.0434	0.1800	13.6628	13.7194
0.0640	2.0429	0.1832	13.7095	13.7713
0.0645	2.0436	0.1711	13.8007	13.8175
0.0650	2.0457	0.1635	13.7898	13.8431
0.0655	2.0457	0.1540	13.7302	13.8488
0.0660	2.0454	0.1623	13.7561	13.8145
0.0665	2.0459	0.1602	13.8573	13.7733
0.0670	2.0449	0.1689	13.8649	13.7393
0.0675	2.0437	0.1794	13.7787	13.7149
0.0680	2.0426	0.1813	13.7774	13.7274
0.0685	2.0422	0.1930	13.8823	13.7364
0.0690	2.0433	0.1838	13.9088	13.7444
0.0695	2.0430	0.1856	13.8169	13.7367
0.0700	2.0427	0.1908	13.8038	13.7358
0.0705	2.0428	0.1939	13.9040	13.7551
0.0710	2.0427	0.1883	13.9458	13.7805
0.0715	2.0435	0.1868	13.8680	13.7975
0.0720	2.0430	0.1853	13.8351	13.8301
0.0725	2.0413	0.1961	13.9273	13.8340
0.0730	2.0405	0.2036	13.9815	13.8363
0.0735	2.0387	0.2288	13.9127	13.8137
0.0740	2.0386	0.2287	13.8719	13.8029
0.0745	2.0386	0.2264	13.9598	13.7775
0.0750	2.0385	0.2287	14.0331	13.7659
0.0755	2.0391	0.2260	13.9659	13.7320
0.0760	2.0384	0.2282	13.8928	13.7162
0.0765	2.0388	0.2240	13.9611	13.7108
0.0770	2.0383	0.2342	14.0320	13.7180
0.0775	2.0391	0.2213	13.9846	13.7431
0.0780	2.0392	0.2206	13.8328	13.7568
0.0785	2.0396	0.2154	13.9002	13.7655
0.0790	2.0393	0.2207	14.0109	13.7614
0.0795	2.0380	0.2334	13.9506	13.7814
0.0800	2.0375	0.2402	13.8456	13.7551
0.0805	2.0369	0.2448	13.8815	13.7596
0.0810	2.0364	0.2470	13.9903	13.7486
0.0815	2.0370	0.2384	13.9478	13.7372
0.0820	2.0380	0.2374	13.8130	13.7129
0.0825	2.0373	0.2413	13.8023	13.7009
0.0830	2.0367	0.2432	13.9135	13.6889
0.0835	2.0375	0.2430	13.9058	13.7180
0.0840	2.0374	0.2414	13.7619	13.7490
0.0845	2.0374	0.2393	13.7145	13.7796
0.0850	2.0377	0.2389	13.8165	13.8205
0.0855	2.0375	0.2398	13.8750	13.8384
0.0860	2.0373	0.2446	13.7824	13.8391
0.0865	2.0359	0.2500	13.7405	13.8341
0.0870	2.0356	0.2528	13.8652	13.7915
0.0875	2.0354	0.2543	13.9566	13.7707
0.0880	2.0346	0.2593	13.8834	13.7584
0.0885	2.0341	0.2670	13.8165	13.7262
0.0890	2.0340	0.2716	13.9085	13.7044
0.0895	2.0343	0.2730	14.0116	13.6855
0.0900	2.0338	0.2701	13.9522	13.6885
