Flexible Shaft
9/10/2026 3:42:08 PM
Sample Rate (Hz) = 2000.00
Effective Sample Rate (Hz) = 2000.00
time (s)	Voltage (V)	Current (A)	Distal Tach (rad/s)	Motor Tach (rad/s)

0.0000	5.1280	0.2402	45.9717	44.5829
0.0005	5.1276	0.2420	45.7033	44.7068
0.0010	5.1280	0.2428	45.4640	44.7360
0.0015	5.1276	0.2508	45.5257	44.6084
0.0020	5.1274	0.2469	45.5971	44.5343
0.0025	5.1278	0.2392	45.1296	44.4824
0.0030	5.1280	0.2446	44.6904	44.4581
0.0035	5.1283	0.2436	44.0305	44.6679
0.0040	5.1273	0.2471	44.1677	44.6660
0.0045	5.1270	0.2514	43.1903	44.3706
0.0050	5.1275	0.2437	42.5717	44.3228
0.0055	5.1282	0.2354	43.0100	44.4464
0.0060	5.1292	0.2308	43.4005	44.4415
0.0065	5.1293	0.2252	43.5780	44.3685
0.0070	5.1278	0.2402	43.4036	44.4775
0.0075	5.1274	0.2502	43.6076	44.7068
0.0080	5.1263	0.2579	44.0546	44.5877
0.0085	5.1258	0.2682	44.2925	44.5157
0.0090	5.1250	0.2726	44.1867	44.5022
0.0095	5.1262	0.2632	44.3104	44.5747
0.0100	5.1278	0.2510	44.7519	44.6663
0.0105	5.1274	0.2453	45.0320	44.8247
0.0110	5.1294	0.2295	44.8595	44.7560
0.0115	5.1298	0.2226	44.8275	44.5964
0.0120	5.1295	0.2284	45.1260	44.6587
0.0125	5.1305	0.2143	45.4387	44.6109
0.0130	5.1309	0.2104	45.2929	44.5069
0.0135	5.1316	0.2082	45.1665	44.4448
0.0140	5.1304	0.2133	45.3299	44.7326
0.0145	5.1297	0.2181	45.6210	44.8037
0.0150	5.1295	0.2265	44.7900	44.7513
0.0155	5.1293	0.2239	44.3291	44.6442
0.0160	5.1290	0.2296	44.6926	44.6204
0.0165	5.1295	0.2274	45.0932	44.7617
0.0170	5.1297	0.2213	45.2713	44.7072
0.0175	5.1292	0.2223	45.1497	44.5630
0.0180	5.1298	0.2166	45.3526	44.5774
0.0185	5.1304	0.2138	45.7130	44.6614
0.0190	5.1311	0.2116	45.8135	44.6821
0.0195	5.1291	0.2247	45.5910	44.5821
0.0200	5.1284	0.2357	45.6037	44.3894
0.0205	5.1276	0.2451	45.8523	44.4842
0.0210	5.1264	0.2524	45.8826	44.5975
0.0215	5.1257	0.2635	45.4712	44.5663
0.0220	5.1259	0.2595	45.2073	44.5922
0.0225	5.1259	0.2587	45.2959	44.5936
0.0230	5.1266	0.2540	45.1960	44.6718
0.0235	5.1266	0.2559	44.2595	44.7020
0.0240	5.1263	0.2590	43.7402	44.5954
0.0245	5.1266	0.2540	44.0075	44.5426
0.0250	5.1276	0.2422	43.2331	44.6081
0.0255	5.1284	0.2346	42.8729	44.7501
0.0260	5.1282	0.2362	43.0470	44.9368
0.0265	5.1288	0.2347	43.3359	44.7174
0.0270	5.1294	0.2251	43.6879	44.6633
0.0275	5.1297	0.2193	43.6713	44.7698
0.0280	5.1295	0.2307	43.7265	44.6991
0.0285	5.1299	0.2193	44.0317	44.6961
0.0290	5.1297	0.2230	44.4044	44.7074
0.0295	5.1299	0.2236	44.4255	44.7777
0.0300	5.1298	0.2154	44.4523	44.8845
0.0305	5.1307	0.2142	44.7333	45.0191
0.0310	5.1299	0.2177	45.0383	44.9289
0.0315	5.1302	0.2198	45.0110	44.8322
0.0320	5.1294	0.2239	44.8915	44.8959
0.0325	5.1298	0.2246	45.0877	44.9910
0.0330	5.1292	0.2290	45.4088	44.7828
0.0335	5.1287	0.2356	45.4139	44.5442
0.0340	5.1275	0.2474	45.2542	44.5681
0.0345	5.1265	0.2559	45.1976	44.6958
0.0350	5.1260	0.2608	44.5501	44.7361
0.0355	5.1261	0.2600	44.6057	44.7778
0.0360	5.1259	0.2616	44.5448	44.7735
0.0365	5.1262	0.2594	44.7202	44.6955
0.0370	5.1273	0.2513	45.1915	44.7082
0.0375	5.1278	0.2445	45.3712	44.6239
0.0380	5.1290	0.2319	45.2875	44.3900
0.0385	5.1304	0.2154	45.3656	44.5206
0.0390	5.1309	0.2090	45.7106	44.7037
0.0395	5.1301	0.2191	45.8434	44.5525
0.0400	5.1290	0.2281	45.6463	44.3636
0.0405	5.1290	0.2310	45.5559	44.2849
0.0410	5.1289	0.2267	45.7251	44.5125
0.0415	5.1293	0.2307	45.7486	44.6269
0.0420	5.1290	0.2269	45.4115	44.6884
0.0425	5.1291	0.2312	45.0612	44.8273
0.0430	5.1291	0.2329	44.9730	44.7049
0.0435	5.1286	0.2268	44.9082	44.7018
0.0440	5.1287	0.2330	44.4883	44.6321
0.0445	5.1281	0.2356	43.7576	44.4705
0.0450	5.1286	0.2337	43.6964	44.4409
0.0455	5.1283	0.2325	43.3671	44.6313
0.0460	5.1278	0.2425	43.1104	44.8755
0.0465	5.1272	0.2485	43.0902	44.7714
0.0470	5.1268	0.2516	43.2648	44.7035
0.0475	5.1263	0.2591	43.7313	44.7698
0.0480	5.1266	0.2618	43.9108	44.8004
0.0485	5.1264	0.2551	43.8298	44.7385
0.0490	5.1275	0.2500	43.9726	44.8047
0.0495	5.1278	0.2425	44.3892	44.8089
0.0500	5.1274	0.2438	44.6695	44.7646
0.0505	5.1276	0.2451	44.6214	44.7204
0.0510	5.1288	0.2354	44.6484	44.5302
0.0515	5.1295	0.2219	44.9261	44.5182
0.0520	5.1298	0.2194	45.1516	44.6241
0.0525	5.1310	0.2121	45.0836	44.6183
0.0530	5.1314	0.2046	45.0445	44.6493
0.0535	5.1314	0.2048	45.1504	44.5981
0.0540	5.1304	0.2136	45.5500	44.6667
0.0545	5.1313	0.2092	44.3219	44.7578
0.0550	5.1307	0.2116	43.8404	44.6165
0.0555	5.1311	0.2092	44.2954	44.5306
0.0560	5.1311	0.2044	44.6688	44.5550
0.0565	5.1314	0.2063	44.8972	44.5805
0.0570	5.1313	0.2043	44.8296	44.6918
0.0575	5.1303	0.2124	45.0339	44.7019
0.0580	5.1293	0.2250	45.4624	44.6381
0.0585	5.1283	0.2343	45.6182	44.6103
0.0590	5.1270	0.2481	45.4378	44.6622
0.0595	5.1266	0.2486	45.4625	44.6985
0.0600	5.1261	0.2599	45.7633	44.6339
0.0605	5.1267	0.2571	45.8342	44.6441
0.0610	5.1274	0.2478	45.5809	44.8107
0.0615	5.1277	0.2448	45.4298	44.8446
0.0620	5.1277	0.2416	45.5039	44.6769
0.0625	5.1279	0.2425	45.3659	44.6906
0.0630	5.1286	0.2344	44.9957	44.7126
0.0635	5.1311	0.2160	44.5991	44.8429
0.0640	5.1312	0.2060	44.5824	44.9424
0.0645	5.1310	0.2071	43.9959	44.8154
0.0650	5.1318	0.1969	43.4056	44.7258
0.0655	5.1312	0.2051	43.4060	44.7279
0.0660	5.1305	0.2092	43.1026	44.9156
0.0665	5.1302	0.2148	43.3716	44.8342
0.0670	5.1304	0.2186	43.4911	44.7067
0.0675	5.1310	0.2124	43.5198	44.7536
0.0680	5.1317	0.2009	43.7514	44.7688
0.0685	5.1314	0.2018	44.1332	44.6859
0.0690	5.1314	0.2061	44.2681	44.6895
0.0695	5.1323	0.1986	44.3137	44.8513
0.0700	5.1313	0.2020	44.4820	44.9555
0.0705	5.1305	0.2125	44.8590	45.0229
0.0710	5.1282	0.2307	45.0311	44.8855
0.0715	5.1282	0.2421	44.9754	44.6176
0.0720	5.1267	0.2517	44.9639	44.4687
0.0725	5.1257	0.2578	45.2434	44.4526
0.0730	5.1248	0.2717	45.3766	44.3314
0.0735	5.1250	0.2708	45.4184	44.3155
0.0740	5.1258	0.2648	45.1048	44.5213
0.0745	5.1261	0.2623	44.9980	44.6364
0.0750	5.1259	0.2636	45.2277	44.5980
0.0755	5.1267	0.2509	45.0496	44.5070
0.0760	5.1280	0.2425	44.7103	44.5492
0.0765	5.1294	0.2272	44.5938	44.6924
