Flexible Shaft
9/10/2026 3:44:30 PM
Sample Rate (Hz) = 2000.00
Effective Sample Rate (Hz) = 2000.00
time (s)	Voltage (V)	Current (A)	Distal Tach (rad/s)	Motor Tach (rad/s)

0.0000	3.0681	0.2524	24.6138	24.5310
0.0005	3.0673	0.2588	24.5951	24.4709
0.0010	3.0675	0.2582	24.4899	24.4567
0.0015	3.0676	0.2570	24.5337	24.4722
0.0020	3.0677	0.2516	24.6995	24.5206
0.0025	3.0703	0.2319	24.7209	24.5244
0.0030	3.0717	0.2219	24.6210	24.4652
0.0035	3.0727	0.2068	24.6255	24.4083
0.0040	3.0737	0.1987	24.8060	24.3813
0.0045	3.0733	0.1946	24.8575	24.3715
0.0050	3.0736	0.1947	24.7494	24.4237
0.0055	3.0737	0.1927	24.7087	24.4856
0.0060	3.0733	0.1962	24.8462	24.5267
0.0065	3.0744	0.1898	24.8547	24.5356
0.0070	3.0741	0.1927	24.7767	24.5367
0.0075	3.0742	0.1897	24.3736	24.5133
0.0080	3.0743	0.1865	24.2706	24.4618
0.0085	3.0740	0.1853	24.4145	24.3790
0.0090	3.0738	0.1890	24.3774	24.3270
0.0095	3.0731	0.2016	24.3822	24.3559
0.0100	3.0728	0.1980	24.4783	24.4278
0.0105	3.0734	0.1939	24.6364	24.4356
0.0110	3.0728	0.1980	24.6556	24.4406
0.0115	3.0717	0.2152	24.6464	24.4109
0.0120	3.0709	0.2210	24.7080	24.4134
0.0125	3.0714	0.2254	24.8374	24.4375
0.0130	3.0722	0.2110	24.8648	24.4708
0.0135	3.0730	0.2006	24.8303	24.4534
0.0140	3.0732	0.1957	24.8486	24.4070
0.0145	3.0732	0.1912	24.9686	24.4151
0.0150	3.0735	0.1948	25.0217	24.4020
0.0155	3.0726	0.2027	24.9450	24.3834
0.0160	3.0714	0.2109	24.9113	24.3684
0.0165	3.0711	0.2203	25.0146	24.3621
0.0170	3.0714	0.2180	25.0665	24.3710
0.0175	3.0704	0.2201	24.9832	24.4308
0.0180	3.0705	0.2319	24.9255	24.4290
0.0185	3.0702	0.2324	24.9914	24.3687
0.0190	3.0694	0.2382	25.0346	24.2980
0.0195	3.0689	0.2463	24.9246	24.2320
0.0200	3.0680	0.2554	24.7927	24.2170
0.0205	3.0674	0.2553	24.8002	24.2401
0.0210	3.0682	0.2499	24.7962	24.2939
0.0215	3.0691	0.2417	24.7038	24.3210
0.0220	3.0693	0.2375	24.5359	24.4093
0.0225	3.0691	0.2392	24.5295	24.4820
0.0230	3.0683	0.2436	24.4555	24.4679
0.0235	3.0685	0.2484	24.1675	24.4325
0.0240	3.0686	0.2501	24.0669	24.3562
0.0245	3.0686	0.2458	24.0377	24.3374
0.0250	3.0691	0.2425	24.0129	24.3261
0.0255	3.0692	0.2357	23.9280	24.3435
0.0260	3.0689	0.2451	23.5657	24.3905
0.0265	3.0689	0.2363	23.4016	24.4655
0.0270	3.0683	0.2405	23.5956	24.5570
0.0275	3.0690	0.2443	23.6206	24.6098
0.0280	3.0694	0.2410	23.6122	24.5650
0.0285	3.0696	0.2355	23.5979	24.5128
0.0290	3.0713	0.2186	23.7385	24.4512
0.0295	3.0717	0.2117	23.8233	24.4019
0.0300	3.0716	0.2117	23.8369	24.3826
0.0305	3.0708	0.2203	23.8577	24.3676
0.0310	3.0710	0.2229	23.9684	24.3658
0.0315	3.0700	0.2316	24.0268	24.3924
0.0320	3.0713	0.2234	24.0113	24.4463
0.0325	3.0719	0.2107	24.0530	24.4561
0.0330	3.0712	0.2209	24.2007	24.4662
0.0335	3.0711	0.2245	24.2727	24.4395
0.0340	3.0710	0.2234	24.2460	24.4768
0.0345	3.0709	0.2241	24.2858	24.4824
0.0350	3.0711	0.2154	24.4381	24.4603
0.0355	3.0728	0.2058	24.5135	24.4883
0.0360	3.0732	0.2012	24.4720	24.4331
0.0365	3.0733	0.2002	24.4611	24.4237
0.0370	3.0731	0.2047	24.5590	24.5234
0.0375	3.0731	0.1976	24.6481	24.5136
0.0380	3.0726	0.2004	24.6214	24.5070
0.0385	3.0725	0.2028	24.5863	24.5343
0.0390	3.0727	0.2070	24.6389	24.5784
0.0395	3.0722	0.1995	24.7382	24.5827
0.0400	3.0724	0.2089	24.7401	24.5328
0.0405	3.0725	0.2100	24.7023	24.4595
0.0410	3.0714	0.2089	24.7523	24.3896
