Flexible Shaft
9/10/2026 3:31:37 PM
Sample Rate (Hz) = 2000.00
Effective Sample Rate (Hz) = 2000.00
time (s)	Voltage (V)	Current (A)	Distal Tach (rad/s)	Motor Tach (rad/s)

0.0000	2.0327	0.2514	12.6396	12.6394
0.0005	2.0328	0.2432	12.6405	12.6122
0.0010	2.0330	0.2396	12.6934	12.5927
0.0015	2.0330	0.2344	12.7330	12.5754
0.0020	2.0333	0.2384	12.7276	12.5825
0.0025	2.0335	0.2391	12.7217	12.5919
0.0030	2.0330	0.2402	12.7616	12.6126
0.0035	2.0332	0.2347	12.7932	12.6191
0.0040	2.0334	0.2452	12.7952	12.6311
0.0045	2.0333	0.2414	12.7953	12.6158
0.0050	2.0336	0.2369	12.8189	12.5847
0.0055	2.0333	0.2392	12.8306	12.5542
0.0060	2.0338	0.2293	12.8325	12.5183
0.0065	2.0345	0.2304	12.8447	12.5046
0.0070	2.0352	0.2227	12.8741	12.4893
0.0075	2.0361	0.2151	12.8982	12.4942
0.0080	2.0367	0.2148	12.8878	12.5385
0.0085	2.0372	0.2096	12.8900	12.5684
0.0090	2.0379	0.2002	12.9181	12.5982
0.0095	2.0385	0.1972	12.9292	12.6248
0.0100	2.0398	0.1907	12.9119	12.6390
0.0105	2.0398	0.1878	12.9073	12.6352
0.0110	2.0397	0.1862	12.9349	12.6352
0.0115	2.0395	0.1847	12.9461	12.6119
0.0120	2.0390	0.1942	12.9339	12.5930
0.0125	2.0392	0.1947	12.9335	12.5622
0.0130	2.0374	0.2045	12.9511	12.5475
0.0135	2.0377	0.2042	12.9642	12.5512
0.0140	2.0385	0.1944	12.9425	12.5421
0.0145	2.0384	0.1979	12.9185	12.5249
0.0150	2.0376	0.2018	12.9472	12.5151
0.0155	2.0373	0.2070	12.9808	12.5274
0.0160	2.0367	0.2086	12.9642	12.5429
0.0165	2.0362	0.2133	12.9287	12.5712
0.0170	2.0367	0.2104	12.9386	12.5811
0.0175	2.0367	0.2083	12.9711	12.5907
0.0180	2.0379	0.2005	12.9489	12.5846
0.0185	2.0375	0.2026	12.8935	12.5670
0.0190	2.0377	0.1997	12.8816	12.5678
0.0195	2.0380	0.1982	12.9156	12.5650
0.0200	2.0384	0.2033	12.9188	12.5706
0.0205	2.0382	0.2024	12.8519	12.5778
0.0210	2.0379	0.2042	12.8148	12.6007
0.0215	2.0370	0.2085	12.8433	12.6591
0.0220	2.0372	0.2054	12.8605	12.6922
0.0225	2.0366	0.2112	12.8112	12.6844
0.0230	2.0365	0.2107	12.7608	12.6546
0.0235	2.0360	0.2160	12.7805	12.6187
0.0240	2.0357	0.2201	12.7957	12.5665
0.0245	2.0353	0.2270	12.7455	12.5519
0.0250	2.0348	0.2243	12.6797	12.5583
0.0255	2.0339	0.2311	12.6862	12.5625
0.0260	2.0341	0.2306	12.7056	12.5863
0.0265	2.0333	0.2405	12.6540	12.6131
0.0270	2.0325	0.2447	12.5905	12.6256
0.0275	2.0324	0.2464	12.6023	12.6357
0.0280	2.0322	0.2490	12.5564	12.6083
0.0285	2.0324	0.2526	12.5333	12.5625
0.0290	2.0326	0.2458	12.5094	12.5153
0.0295	2.0320	0.2520	12.5165	12.4852
0.0300	2.0317	0.2482	12.5065	12.4591
0.0305	2.0326	0.2481	12.4810	12.4642
0.0310	2.0335	0.2362	12.4437	12.4719
0.0315	2.0337	0.2376	12.4237	12.5118
0.0320	2.0335	0.2393	12.3922	12.5682
0.0325	2.0333	0.2403	12.3583	12.6175
0.0330	2.0336	0.2436	12.2164	12.6608
0.0335	2.0325	0.2409	12.1659	12.6644
0.0340	2.0324	0.2408	12.2150	12.6912
0.0345	2.0329	0.2446	12.1968	12.6984
0.0350	2.0329	0.2388	12.2058	12.6699
0.0355	2.0329	0.2477	12.2297	12.6341
0.0360	2.0327	0.2469	12.2555	12.6206
0.0365	2.0323	0.2474	12.2520	12.6059
0.0370	2.0322	0.2497	12.2602	12.6125
0.0375	2.0318	0.2540	12.2829	12.6257
0.0380	2.0311	0.2555	12.3124	12.6448
0.0385	2.0307	0.2615	12.3160	12.6538
0.0390	2.0312	0.2635	12.3115	12.6648
0.0395	2.0313	0.2617	12.3290	12.6602
0.0400	2.0313	0.2600	12.3718	12.6380
0.0405	2.0310	0.2576	12.3785	12.6278
0.0410	2.0312	0.2596	12.3778	12.6132
0.0415	2.0320	0.2504	12.3916	12.6238
0.0420	2.0327	0.2440	12.4223	12.6230
0.0425	2.0332	0.2416	12.4323	12.6298
0.0430	2.0330	0.2378	12.4343	12.6476
0.0435	2.0326	0.2434	12.4568	12.6576
0.0440	2.0327	0.2451	12.4885	12.6809
0.0445	2.0328	0.2402	12.4984	12.6979
0.0450	2.0339	0.2371	12.4867	12.6886
0.0455	2.0335	0.2381	12.5015	12.6896
0.0460	2.0344	0.2294	12.5370	12.6781
0.0465	2.0343	0.2290	12.5518	12.6441
0.0470	2.0337	0.2316	12.5448	12.6326
0.0475	2.0337	0.2325	12.5521	12.6244
0.0480	2.0332	0.2392	12.5835	12.6379
0.0485	2.0331	0.2416	12.6155	12.6588
0.0490	2.0321	0.2464	12.6237	12.6845
0.0495	2.0314	0.2564	12.6280	12.7088
0.0500	2.0301	0.2669	12.6458	12.7087
0.0505	2.0291	0.2717	12.6663	12.7000
0.0510	2.0290	0.2727	12.6747	12.6717
0.0515	2.0292	0.2770	12.6772	12.6388
0.0520	2.0298	0.2720	12.6921	12.5891
0.0525	2.0307	0.2580	12.7122	12.5413
0.0530	2.0307	0.2551	12.7212	12.5181
0.0535	2.0317	0.2552	12.7178	12.5092
0.0540	2.0327	0.2399	12.7161	12.5268
0.0545	2.0338	0.2346	12.7289	12.5501
0.0550	2.0346	0.2349	12.7415	12.5963
0.0555	2.0343	0.2310	12.7374	12.6223
0.0560	2.0349	0.2258	12.7398	12.6601
