Flexible Shaft
9/10/2026 3:36:50 PM
Sample Rate (Hz) = 2000.00
Effective Sample Rate (Hz) = 2000.00
time (s)	Voltage (V)	Current (A)	Distal Tach (rad/s)	Motor Tach (rad/s)

0.0000	0.8457	0.2401	-0.0037	0.0298
0.0005	0.8671	0.2484	-0.0048	0.0289
0.0010	0.8867	0.2579	-0.0045	0.0327
0.0015	0.9023	0.2657	-0.0047	0.0232
0.0020	0.9144	0.2746	-0.0047	0.0223
0.0025	0.9231	0.2800	-0.0056	0.0145
0.0030	0.9282	0.2830	-0.0059	0.0138
0.0035	0.9297	0.2864	-0.0048	0.0115
0.0040	0.9283	0.2931	-0.0053	0.0067
0.0045	0.9225	0.2964	-0.0039	0.0057
0.0050	0.9141	0.2926	-0.0065	0.0049
0.0055	0.9018	0.2920	-0.0046	0.0037
0.0060	0.8862	0.2940	-0.0060	0.0089
0.0065	0.8673	0.2871	-0.0045	0.0049
0.0070	0.8452	0.2880	-0.0054	-0.0035
0.0075	0.8197	0.2760	-0.0053	0.0018
0.0080	0.7910	0.2744	-0.0065	-0.0028
0.0085	0.7602	0.2628	-0.0077	-0.0074
0.0090	0.7260	0.2557	-0.0048	-0.0065
0.0095	0.6891	0.2434	-0.0053	-0.0183
0.0100	0.6495	0.2387	-0.0054	-0.0185
0.0105	0.6077	0.2299	-0.0029	-0.0165
0.0110	0.5639	0.2157	-0.0050	-0.0160
0.0115	0.5176	0.2003	-0.0065	-0.0248
0.0120	0.4695	0.1902	-0.0036	-0.0245
0.0125	0.4201	0.1756	-0.0058	-0.0249
0.0130	0.3685	0.1582	-0.0045	-0.0297
0.0135	0.3159	0.1450	-0.0057	-0.0275
0.0140	0.2625	0.1301	-0.0043	-0.0230
0.0145	0.2080	0.1108	-0.0054	-0.0306
0.0150	0.1533	0.0986	-0.0059	-0.0324
0.0155	0.0981	0.0768	-0.0039	-0.0305
0.0160	0.0425	0.0613	-0.0043	-0.0358
0.0165	-0.0135	0.0429	-0.0041	-0.0346
0.0170	-0.0697	0.0240	-0.0067	-0.0347
0.0175	-0.1243	0.0104	-0.0048	-0.0317
0.0180	-0.1788	-0.0069	-0.0052	-0.0332
0.0185	-0.2322	-0.0255	-0.0041	-0.0345
0.0190	-0.2849	-0.0426	-0.0029	-0.0262
0.0195	-0.3367	-0.0578	-0.0048	-0.0243
0.0200	-0.3862	-0.0749	-0.0031	-0.0258
0.0205	-0.4347	-0.0896	-0.0027	-0.0322
0.0210	-0.4810	-0.0959	-0.0033	-0.0261
0.0215	-0.5252	-0.1138	-0.0060	-0.0235
0.0220	-0.5673	-0.1253	-0.0063	-0.0242
0.0225	-0.6073	-0.1343	-0.0062	-0.0270
0.0230	-0.6446	-0.1474	-0.0060	-0.0243
0.0235	-0.6788	-0.1583	-0.0057	-0.0207
0.0240	-0.7105	-0.1678	-0.0043	-0.0255
0.0245	-0.7392	-0.1805	-0.0069	-0.0190
0.0250	-0.7642	-0.1861	-0.0056	-0.0173
0.0255	-0.7870	-0.1932	-0.0049	-0.0083
0.0260	-0.8058	-0.2025	-0.0054	-0.0127
0.0265	-0.8213	-0.2088	-0.0044	-0.0057
0.0270	-0.8335	-0.2183	-0.0051	-0.0089
0.0275	-0.8420	-0.2211	-0.0041	-0.0103
0.0280	-0.8473	-0.2298	-0.0053	-0.0054
0.0285	-0.8492	-0.2336	-0.0047	-0.0072
0.0290	-0.8471	-0.2411	-0.0072	-0.0107
0.0295	-0.8415	-0.2388	-0.0065	-0.0001
