Flexible Shaft
9/10/2026 3:35:03 PM
Sample Rate (Hz) = 2000.00
Effective Sample Rate (Hz) = 2000.00
time (s)	Voltage (V)	Current (A)	Distal Tach (rad/s)	Motor Tach (rad/s)

0.0000	1.9915	0.7999	-0.0012	-0.0025
0.0005	1.9912	0.7983	-0.0062	0.0073
0.0010	1.9913	0.8006	-0.0077	0.0018
0.0015	1.9912	0.7960	-0.0051	0.0112
0.0020	1.9911	0.7958	-0.0032	0.0066
0.0025	1.9915	0.7968	-0.0061	0.0090
0.0030	1.9915	0.7985	-0.0042	0.0032
0.0035	1.9911	0.7924	-0.0058	0.0052
0.0040	1.9916	0.8005	-0.0032	0.0114
0.0045	1.9910	0.7939	-0.0057	0.0076
0.0050	1.9916	0.8025	-0.0023	0.0110
0.0055	1.9912	0.7958	-0.0042	0.0041
0.0060	1.9916	0.7946	-0.0053	0.0045
0.0065	1.9913	0.8016	-0.0056	0.0068
0.0070	1.9916	0.8006	-0.0052	0.0037
0.0075	1.9913	0.7983	-0.0077	0.0067
0.0080	1.9916	0.7926	-0.0074	0.0062
0.0085	1.9917	0.8006	-0.0077	0.0060
0.0090	1.9915	0.7945	-0.0079	0.0041
0.0095	1.9916	0.7945	-0.0055	0.0051
0.0100	1.9914	0.7941	-0.0061	0.0043
0.0105	1.9919	0.7953	-0.0053	0.0037
0.0110	1.9912	0.7959	-0.0062	0.0114
0.0115	1.9915	0.7977	-0.0040	0.0060
0.0120	1.9914	0.7956	-0.0060	0.0059
0.0125	1.9916	0.7965	-0.0069	0.0111
0.0130	1.9920	0.7968	-0.0052	0.0067
0.0135	1.9917	0.7959	-0.0051	0.0125
0.0140	1.9920	0.7985	-0.0045	0.0088
0.0145	1.9912	0.7938	-0.0053	-0.0001
0.0150	1.9913	0.7958	-0.0060	0.0048
0.0155	1.9913	0.7936	-0.0042	0.0078
0.0160	1.9915	0.7950	-0.0040	0.0037
0.0165	1.9916	0.8012	-0.0050	0.0084
0.0170	1.9916	0.7976	-0.0059	0.0069
0.0175	1.9911	0.7997	-0.0057	0.0091
0.0180	1.9916	0.7980	-0.0058	0.0049
0.0185	1.9919	0.7956	-0.0066	0.0006
0.0190	1.9921	0.7950	-0.0047	0.0004
0.0195	1.9917	0.7923	-0.0050	0.0077
0.0200	1.9918	0.7963	-0.0047	0.0105
0.0205	1.9915	0.7938	-0.0046	0.0025
0.0210	1.9917	0.7977	-0.0025	0.0039
0.0215	1.9914	0.8015	-0.0075	-0.0025
0.0220	1.9912	0.7988	-0.0048	0.0046
0.0225	1.9906	0.7968	-0.0054	0.0132
0.0230	1.9914	0.7985	-0.0056	0.0170
0.0235	1.9912	0.7959	-0.0071	0.0032
0.0240	1.9916	0.7948	-0.0051	0.0109
0.0245	1.9915	0.7967	-0.0081	0.0100
0.0250	1.9918	0.7992	-0.0038	0.0042
0.0255	1.9917	0.7970	-0.0060	0.0086
0.0260	1.9915	0.7985	-0.0084	-0.0004
0.0265	1.9915	0.7956	-0.0082	0.0051
0.0270	1.9913	0.7968	-0.0066	0.0038
0.0275	1.9915	0.8018	-0.0053	0.0063
0.0280	1.9911	0.7985	-0.0070	0.0047
0.0285	1.9911	0.7948	-0.0077	0.0057
0.0290	1.9915	0.7973	-0.0057	0.0060
0.0295	1.9913	0.7987	-0.0036	0.0007
0.0300	1.9915	0.7980	-0.0061	0.0004
0.0305	1.9915	0.7998	-0.0071	0.0071
0.0310	1.9912	0.7991	-0.0065	0.0021
0.0315	1.9918	0.8016	-0.0060	0.0087
0.0320	1.9915	0.7972	-0.0063	0.0038
0.0325	1.9918	0.8019	-0.0045	0.0060
0.0330	1.9912	0.8000	-0.0042	0.0088
0.0335	1.9914	0.8024	-0.0050	0.0066
0.0340	1.9910	0.7985	-0.0038	0.0048
0.0345	1.9915	0.7985	-0.0061	0.0045
0.0350	1.9915	0.7987	-0.0059	0.0062
0.0355	1.9916	0.7974	-0.0038	0.0045
0.0360	1.9912	0.8022	-0.0033	0.0010
0.0365	1.9910	0.7962	-0.0070	0.0035
0.0370	1.9915	0.8014	-0.0048	0.0098
0.0375	1.9914	0.8005	-0.0052	0.0047
0.0380	1.9914	0.8007	-0.0048	0.0094
0.0385	1.9911	0.7963	-0.0057	-0.0001
0.0390	1.9914	0.8006	-0.0069	0.0035
0.0395	1.9916	0.8027	-0.0045	0.0068
0.0400	1.9914	0.7985	-0.0046	0.0029
0.0405	1.9909	0.8002	-0.0053	0.0063
0.0410	1.9913	0.7962	-0.0077	0.0093
0.0415	1.9912	0.7983	-0.0040	0.0031
0.0420	1.9916	0.8008	-0.0063	0.0081
0.0425	1.9911	0.8024	-0.0065	0.0081
0.0430	1.9915	0.7984	-0.0034	0.0035
0.0435	1.9914	0.7959	-0.0063	0.0053
0.0440	1.9914	0.8003	-0.0030	0.0072
0.0445	1.9914	0.7995	-0.0077	0.0105
0.0450	1.9915	0.7976	-0.0054	0.0051
0.0455	1.9915	0.7994	-0.0075	0.0055
0.0460	1.9916	0.7974	-0.0052	0.0068
0.0465	1.9910	0.7991	-0.0050	0.0052
0.0470	1.9914	0.7980	-0.0044	0.0028
0.0475	1.9914	0.7974	-0.0051	-0.0023
0.0480	1.9913	0.7970	-0.0059	0.0061
0.0485	1.9915	0.7974	-0.0071	0.0065
0.0490	1.9915	0.8061	-0.0040	-0.0004
0.0495	1.9913	0.8014	-0.0038	0.0145
0.0500	1.9914	0.8032	-0.0062	0.0029
0.0505	1.9912	0.8009	-0.0054	0.0103
0.0510	1.9913	0.8018	-0.0050	0.0035
0.0515	1.9913	0.7990	-0.0049	-0.0010
0.0520	1.9911	0.8002	-0.0057	0.0040
0.0525	1.9914	0.7966	-0.0051	0.0065
0.0530	1.9916	0.7982	-0.0052	0.0050
0.0535	1.9915	0.7979	-0.0053	0.0066
0.0540	1.9913	0.7973	-0.0044	0.0051
0.0545	1.9917	0.7965	-0.0047	0.0042
0.0550	1.9916	0.8030	-0.0045	-0.0007
0.0555	1.9913	0.8015	-0.0066	0.0082
0.0560	1.9914	0.7991	-0.0053	0.0081
0.0565	1.9912	0.7983	-0.0048	0.0031
0.0570	1.9912	0.7957	-0.0055	-0.0005
0.0575	1.9913	0.7974	-0.0050	0.0086
0.0580	1.9912	0.7974	-0.0045	0.0072
0.0585	1.9920	0.7978	-0.0055	0.0087
0.0590	1.9912	0.8003	-0.0046	0.0037
0.0595	1.9913	0.7974	-0.0055	0.0012
0.0600	1.9913	0.8007	-0.0043	0.0059
0.0605	1.9911	0.7994	-0.0046	0.0092
0.0610	1.9911	0.8026	-0.0059	0.0059
0.0615	1.9913	0.8000	-0.0054	0.0061
0.0620	1.9912	0.8003	-0.0052	0.0065
0.0625	1.9913	0.8015	-0.0055	0.0071
0.0630	1.9915	0.8000	-0.0063	0.0060
0.0635	1.9915	0.7991	-0.0055	0.0072
0.0640	1.9914	0.8006	-0.0029	0.0110
0.0645	1.9911	0.8016	-0.0060	0.0081
0.0650	1.9912	0.7991	-0.0048	0.0049
0.0655	1.9917	0.8012	-0.0057	0.0099
0.0660	1.9913	0.8026	-0.0056	0.0051
0.0665	1.9912	0.8001	-0.0025	0.0052
0.0670	1.9913	0.7981	-0.0039	0.0065
0.0675	1.9912	0.7977	-0.0059	0.0043
0.0680	1.9912	0.7961	-0.0063	0.0067
0.0685	1.9916	0.7994	-0.0045	0.0045
0.0690	1.9916	0.7937	-0.0070	0.0089
0.0695	1.9911	0.8009	-0.0048	0.0120
0.0700	1.9915	0.7974	-0.0056	0.0066
0.0705	1.9910	0.8004	-0.0041	0.0077
0.0710	1.9915	0.8014	-0.0036	0.0100
0.0715	1.9913	0.7986	-0.0060	0.0117
0.0720	1.9912	0.7983	-0.0066	0.0083
0.0725	1.9913	0.8030	-0.0057	0.0065
0.0730	1.9910	0.7981	-0.0077	0.0119
0.0735	1.9915	0.7981	-0.0056	0.0010
0.0740	1.9914	0.7959	-0.0059	0.0045
0.0745	1.9915	0.7971	-0.0071	0.0084
0.0750	1.9910	0.7978	-0.0062	0.0035
